src_ip_u32,src_port,dst_ip_u32,dst_port,proto,len_min,len_max,mean_len,iat_min_us,iat_max_us,mean_iat_us,total_len,flag_bits_sum
3232270767,56367,910828310,443,6,13312,13312,13312.000000,2198.260010,50666.441406,24922.328125,93184,7
910828310,443,3232270767,56367,6,56325,56325,56325.000000,1135.500000,47821.621094,18725.246094,394275,7
599352642,443,3232270638,57480,6,36352,40448,38692.570312,573372.937500,643212.812500,594994.375000,270848,14
3232270638,57480,599352642,443,6,13312,13312,13312.000000,522917.218750,691344.937500,593541.437500,93184,7
874249836,8443,3232270819,35863,6,13312,45568,18395.714844,4002.840088,760135.625000,355445.031250,128770,9
232899692,443,3232270675,58982,6,13312,15360,13787.713867,305.940002,234080.796875,89954.523438,96514,8
3232270675,58982,232899692,443,6,13312,51205,25564.714844,2737.060059,318120.156250,110671.648438,178953,10
3232270653,8009,3232270720,39064,6,13312,41472,29403.427734,18297.060547,25683746.000000,12743004.000000,205824,11
1834981542,443,3232270633,56513,6,12033,15360,14592.142578,4030.139893,40731208.000000,12815168.000000,102145,8
232899692,443,3232270764,36470,6,13312,58624,20077.714844,299.519989,206081.984375,69604.031250,140544,8
3232270764,36470,232899692,443,6,13312,57088,32549.857422,310.519989,261223.578125,69940.273438,227849,11
580845018,443,3232270675,57324,6,13312,16128,14518.857422,259606.875000,51277576.000000,17352666.000000,101632,10
3232270633,43102,3277337188,22,6,13312,33792,24429.714844,587668.125000,50726532.000000,17200484.000000,171008,11
3232270633,56513,1834981542,443,6,7681,56325,19383.857422,63430.378906,22124710.000000,4162682.000000,135687,10
886274415,443,3232270767,51251,6,13312,63744,20809.142578,334.739990,675722.687500,273774.312500,145664,8
3232270767,40788,874419670,443,6,13312,52224,22820.857422,323.119995,1271043.250000,515499.218750,159746,11
874419670,443,3232270767,40788,6,2305,31747,16530.857422,83386.796875,952553.250000,630591.625000,115716,10
3232270773,60862,873807994,1883,6,18176,49152,32475.427734,327.540009,76563312.000000,25420352.000000,227328,14
873807994,1883,3232270773,60862,6,11776,18176,14518.857422,327.839996,76395040.000000,25597404.000000,101632,10
3232270720,39064,3232270653,8009,6,41472,41472,41472.000000,25222536.000000,25698560.000000,25363538.000000,290304,14
751878712,443,3232270779,52342,6,1794,45568,16091.857422,8128.319824,496451.312500,204678.937500,112643,10
3232270779,52342,751878712,443,6,4609,26368,15360.142578,343.779999,673412.375000,328253.125000,107521,11
