src_ip_u32,src_port,dst_ip_u32,dst_port,proto,len_min,len_max,mean_len,iat_min_us,iat_max_us,mean_iat_us,total_len,flag_bits_sum
865177372,443,3232270627,57082,6,51205,51205,51205.000000,1.500000,7.180000,4.592000,307230,6
2650362253,443,3232270633,50115,6,12033,15360,13440.166992,0.080000,135.259995,30.112000,80641,9
599352642,443,3232270638,48335,6,13312,36352,24832.000000,12.480000,125.559998,59.239998,148992,9
1666315357,443,3232270767,56891,6,56325,56325,56325.000000,1.540000,6.380000,3.440000,337950,6
865177372,443,3232270627,57083,6,13312,51205,44889.500000,1.500000,169.979996,38.424000,269337,6
2650362253,80,3232270633,51771,6,13312,63488,22357.333984,6.140000,197.779999,72.747993,134144,9
2650362253,443,3232270633,50121,6,12033,15360,13781.500000,0.420000,254.160004,91.732002,82689,9
1834981542,443,3232270633,42914,6,11776,22784,14378.666992,6.020000,6387.720215,1316.075928,86272,9
2650362253,443,3232270633,50127,6,12033,15360,13440.166992,6.120000,249.679993,58.040001,80641,9
2650362253,80,3232270633,51811,6,13312,63488,22357.333984,6.460000,29.879999,16.452000,134144,9
2650362253,80,3232270633,51817,6,13312,63488,22357.333984,6.340000,93.320000,41.344002,134144,9
2650362253,80,3232270633,51823,6,13312,63488,22357.333984,6.240000,106.660004,29.080000,134144,9
598223760,1883,3232270773,60858,6,11776,41216,20949.333984,0.180000,22684.660156,4621.471680,125696,11
2650362253,80,3232270633,51829,6,13312,63488,22016.000000,6.040000,19.340000,11.124000,132096,9
2650362253,443,3232270633,50179,6,12033,15360,13781.500000,6.420000,45.939999,16.983999,82689,9
2650362253,80,3232270633,51832,6,13312,63488,22357.333984,0.320000,39.119999,19.455999,134144,9
2650362253,443,3232270633,50182,6,12033,15360,13781.500000,6.260000,58.139999,18.028000,82689,9
3232270593,34435,3232270653,8009,6,11776,38400,29525.333984,6.240000,14055.219727,5384.431641,177152,10
580845018,4070,3232270842,60698,6,13312,16128,14720.000000,6.500000,14207.179688,2859.592041,88320,9
2650362253,80,3232270633,51835,6,13312,63488,22357.333984,0.080000,91.379997,32.136002,134144,9
64671648,443,3232270710,45382,6,13312,28928,18730.666016,6.520000,44.959999,18.976000,112384,9
2650362253,443,3232270633,50185,6,12033,15360,13781.500000,0.360000,94.220001,38.279999,82689,9
2650362253,80,3232270633,51838,6,13312,63488,22357.333984,0.400000,52.980000,21.132000,134144,9
2650362253,443,3232270633,50188,6,12033,15360,13781.500000,6.720000,57.840000,20.568001,82689,9
877028814,443,3232270764,49548,6,13312,63232,22314.666016,0.280000,19.480000,9.036000,133888,8
2650362253,80,3232270633,51864,6,13312,63488,22357.333984,6.340000,39.820000,20.768000,134144,9
315564343,443,3232270779,39447,6,9985,15360,13440.166992,6.300000,58.959999,19.799999,80641,8
917186285,443,3232270767,60644,6,13312,56325,49156.167969,1.020000,7.840000,5.876000,294937,6
2650362253,80,3232270633,51881,6,13312,63488,22357.333984,6.600000,53.779999,21.584000,134144,9
805179052,443,3232270631,38106,6,11776,33536,19413.500000,0.180000,124.900002,43.459999,116481,9
3232270593,34287,3232270653,8009,6,11776,38400,29781.333984,6.580000,18889.160156,4159.368164,178688,10
793449279,80,3232270725,36186,6,11776,52229,45486.832031,1.500000,84.540001,22.483999,272921,6
794310803,50920,3232270682,51155,6,11776,26368,18432.000000,43.779999,27867.460938,9226.108398,110592,10
886228147,443,3232270767,42325,6,13312,56325,49156.167969,1.540000,13.000000,7.048000,294937,6
3232270653,8009,3232270720,39024,6,13312,41472,32085.333984,12.920000,15136.240234,5635.703613,192512,10
2650362253,443,3232270633,50273,6,12033,15360,13440.166992,6.760000,42.880001,18.020000,80641,9
753381544,443,3232270668,34661,6,6402,30980,14849.000000,6.240000,54.619999,20.372000,89094,9
59626503,443,3232270778,39724,6,13312,63745,21717.500000,12.760000,13731.740234,6645.492188,130305,7
2650362253,443,3232270633,50279,6,12033,15360,13440.166992,6.680000,58.299999,19.120001,80641,9
2650362253,80,3232270633,51935,6,13312,63488,22357.333984,0.420000,146.580002,47.996002,134144,9
2650362253,443,3232270633,50285,6,12033,15360,13781.500000,6.080000,90.160004,25.712000,82689,9
1834981442,443,3232270633,34613,6,13312,42496,19584.166016,0.160000,126.860001,29.508001,117505,9
911044677,443,3232270767,33508,6,13312,64770,32981.667969,8.840000,59.020000,21.676001,197890,11
3232270650,35334,3232270842,55443,6,13312,47360,20096.833984,0.200000,19.080000,9.920000,120581,9
2650362253,80,3232270633,51964,6,13312,63488,22357.333984,6.300000,110.820000,44.723999,134144,9
910923043,443,3232270767,34099,6,13312,45568,28203.500000,6.640000,163.279999,50.563999,169221,11
3232270639,55443,3232270650,52924,6,13312,47360,22358.166016,6.260000,42.860001,22.651999,134149,9
2650362253,443,3232270633,50314,6,12033,15360,13781.500000,0.060000,126.879997,38.639999,82689,9
2919234123,232,3232270723,35163,6,11776,23552,17664.000000,6.280000,47995.800781,9633.511719,105984,9
753364417,443,3232270670,48765,6,13312,13312,13312.000000,32.540001,48640.718750,14348.656250,79872,6
3232270650,51014,3232270675,55443,6,13312,47360,19840.833984,0.240000,11.440000,7.348000,119045,9
3232270650,33958,3232270764,55443,6,13312,47360,20523.500000,6.220000,15.660000,8.644000,123141,9
874756064,8443,3232270819,50905,6,13312,15360,14208.333008,6.360000,113.459999,51.687996,85250,8
886736089,443,3232270668,56018,6,11776,13312,12032.000000,0.160000,7.600000,5.620000,72192,6
910782761,443,3232270767,55915,6,13312,56325,27649.666016,6.180000,1821.020020,601.211975,165898,6
2650362253,80,3232270633,51993,6,13312,43777,18730.833984,6.380000,73.320000,23.556002,112385,10
584436616,443,3232270643,63835,6,13312,16384,14379.000000,6.360000,146.399994,56.556000,86274,8
2650362253,80,3232270633,52008,6,13312,63488,22357.333984,6.180000,39.099998,14.356000,134144,9
580845018,443,3232270639,35208,6,13312,16128,14250.666992,0.080000,63384.878906,17673.087891,85504,8
2650362253,80,3232270633,52014,6,13312,63488,22016.000000,6.060000,65.419998,27.836000,132096,9
2650362253,443,3232270633,50369,6,12033,15360,13440.166992,6.480000,34.160000,16.892000,80641,9
3232270633,43102,3277337188,22,6,13312,33792,24234.666016,6.580000,64574.300781,19473.488281,145408,10
2650362253,443,3232270633,50376,6,12033,15360,13781.500000,6.460000,93.980003,39.683998,82689,9
51126726,1883,3232270763,51529,6,11776,11776,11776.000000,0.080000,70900.023438,18545.392578,70656,8
2650362253,443,3232270633,50398,6,12033,15360,13440.166992,0.340000,26.900000,11.808000,80641,9
1679064780,443,3232270767,59489,6,13312,13312,13312.000000,6.220000,28527.199219,8860.936523,79872,6
886736089,443,3232270668,56019,6,11524,29440,15190.000000,0.160000,12.820000,5.372000,91140,8
2650362253,80,3232270633,52051,6,13312,63488,22357.333984,6.340000,76.120003,29.087999,134144,9
2650362253,443,3232270633,50410,6,12033,15360,13440.166992,6.180000,35.860001,12.296000,80641,9
580845018,443,3232270675,52858,6,13312,16128,15189.333008,0.100000,97494.078125,20326.207031,91136,10
2650362253,80,3232270633,52122,6,13312,63488,22357.333984,0.060000,45.779999,17.016001,134144,9
2650362253,443,3232270633,50472,6,12033,15360,13781.500000,0.340000,70.739998,20.552000,82689,9
873413825,443,3232270678,38714,6,13312,28928,19925.333984,13.240000,59207.300781,17379.728516,119552,9
2650362253,80,3232270633,52125,6,13312,63488,22357.333984,0.060000,31.700001,13.608000,134144,9
2650362253,443,3232270633,50475,6,12033,15360,13781.500000,6.240000,53.080002,20.843998,82689,9
915708401,8886,3232270728,40774,6,11776,56576,24618.666016,0.180000,20858.140625,4205.412109,147712,9
2650362253,80,3232270633,52128,6,13312,63488,22357.333984,0.100000,85.279999,26.211998,134144,9
2650362253,443,3232270633,50478,6,12033,15360,13781.500000,6.560000,72.160004,21.423998,82689,9
2650362253,80,3232270633,52131,6,13312,63488,22357.333984,6.280000,38.060001,15.308000,134144,9
2650362253,443,3232270633,50481,6,12033,15360,13781.500000,6.300000,38.540001,15.928000,82689,9
598689638,443,3232270764,53908,6,13312,56325,34732.500000,6.460000,349.000000,78.507996,208395,9
886736089,443,3232270668,56021,6,11776,11776,11776.000000,5.840000,6.180000,6.076000,70656,6
873251920,8883,3232270668,39253,6,13312,39169,24875.000000,12.640000,8479.179688,3396.100098,149250,9
2650362253,80,3232270633,52140,6,13312,63488,22357.333984,6.100000,20.040001,10.412000,134144,9
288985098,5223,3232270643,63703,6,13312,23552,18304.500000,6.480000,36455.121094,11301.472656,109827,10
2650362253,443,3232270633,50490,6,12033,15360,13781.500000,6.120000,100.699997,36.043999,82689,9
915718389,443,3232270643,63837,6,13312,16384,14379.000000,6.620000,84.620003,26.680000,86274,8
2650362253,443,3232270633,50507,6,13312,15104,13610.666992,6.180000,12.740000,7.528000,81664,9
2650362253,80,3232270633,52160,6,13312,63488,22357.333984,0.100000,66.660004,24.903999,134144,9
2650362253,443,3232270633,50510,6,12033,15360,13781.500000,0.340000,90.199997,25.535999,82689,9
64992757,443,3232270842,56118,6,13312,25088,21162.666016,6.200000,95780.039062,19165.287109,126976,10
2650362253,80,3232270633,52163,6,13312,63488,22357.333984,6.140000,49.459999,18.872000,134144,9
2650362253,443,3232270633,50513,6,12033,15360,13781.500000,6.180000,69.260002,24.000000,82689,9
886736089,443,3232270668,56022,6,11776,54528,20608.000000,0.540000,273.700012,61.404003,123648,9
2650362253,80,3232270633,52185,6,13312,63488,22016.000000,6.320000,14.340000,9.324000,132096,9
2650362253,443,3232270633,50535,6,12033,15360,13781.500000,6.320000,39.080002,15.464000,82689,9
2650362253,80,3232270633,52188,6,13312,63488,22357.333984,0.060000,25.719999,10.984000,134144,9
2398824739,80,3232270653,41800,6,13312,45824,29525.666016,6.360000,62539.281250,12518.303711,177154,10
2650362253,443,3232270633,50538,6,12033,15360,13781.500000,6.560000,64.959999,24.312000,82689,9
2650362253,80,3232270633,52191,6,13312,63488,22357.333984,0.080000,44.900002,12.860000,134144,9
2650362253,443,3232270633,50541,6,12033,15360,13781.500000,6.440000,27.840000,11.960000,82689,9
2650362253,80,3232270633,52194,6,13312,63488,22357.333984,0.080000,21.020000,7.984000,134144,9
2650362253,443,3232270633,50544,6,12033,15360,13781.500000,0.320000,59.619999,16.188000,82689,9
580845018,4070,3232270764,58122,6,13312,16128,15658.666992,6.160000,43083.039062,20715.416016,93952,11
878292219,8443,3232270819,60308,6,13312,15360,14208.333008,6.220000,34.139999,18.764000,85250,8
2650362253,443,3232270633,50556,6,13312,15104,13610.666992,0.100000,26.600000,9.324000,81664,9
2650362253,80,3232270633,52209,6,13312,63488,22357.333984,0.280000,32.880001,18.232000,134144,9
2650362253,443,3232270633,50571,6,13312,15360,13952.000000,0.100000,19.740000,7.868000,83712,10
3232270650,55443,3232270675,40412,6,2307,51968,22059.666016,6.580000,104361.523438,20880.187500,132358,10
872688319,443,3232270764,53303,6,13312,21760,18773.333984,6.840000,105115.843750,21038.412109,112640,10
2650362253,80,3232270633,52224,6,13312,63488,22357.333984,6.160000,35.860001,13.464000,134144,9
597794358,8886,3232270662,61304,6,11776,27904,22528.000000,0.080000,105122.460938,21099.099609,135168,10
886736089,443,3232270668,56024,6,11776,29440,15488.000000,7.000000,257.600006,66.608002,92928,7
2650362253,443,3232270633,50574,6,12033,15360,13781.500000,6.240000,113.220001,31.976000,82689,9
1834981542,443,3232270633,43420,6,12033,15360,13781.500000,6.400000,38.959999,17.636000,82689,8
2650362253,80,3232270633,52247,6,13312,63488,22016.000000,6.460000,41.299999,17.028000,132096,9
2650362253,443,3232270633,50597,6,12033,15360,13781.500000,0.080000,79.620003,21.164000,82689,9
911590498,443,3232270637,49945,6,11776,18176,16042.666992,13.120000,55465.121094,14761.912109,96256,10
3232270650,55443,3232270675,40416,6,2307,51968,22059.666016,5.560000,18112.199219,3629.152100,132358,10
3232270650,55443,3232270764,49426,6,2307,51968,22059.666016,6.220000,107534.343750,21514.785156,132358,10
2650362253,80,3232270633,52250,6,13312,63488,22357.333984,6.180000,53.299999,17.195999,134144,9
2650362253,443,3232270633,50600,6,12033,15360,13781.500000,0.320000,42.099998,14.236000,82689,9
2650362253,80,3232270633,52253,6,13312,63488,22357.333984,0.300000,26.020000,10.424000,134144,9
2650362253,443,3232270633,50603,6,12033,15360,13781.500000,0.100000,75.300003,21.459999,82689,9
2650362253,80,3232270633,52256,6,13312,63488,22357.333984,6.200000,75.459999,23.888000,134144,9
2650362253,443,3232270633,50606,6,12033,15360,13781.500000,0.340000,32.279999,10.348001,82689,9
2650362253,80,3232270633,52259,6,13312,63488,22357.333984,6.220000,48.439999,17.431999,134144,9
2650362253,443,3232270633,50609,6,12033,15360,13781.500000,6.540000,33.220001,14.636000,82689,9
583297957,443,3232270779,57423,6,13312,29184,19925.333984,0.120000,38511.441406,7708.776367,119552,9
2650362253,80,3232270633,52262,6,13312,63488,22357.333984,0.280000,31.700001,10.464000,134144,9
2650362253,443,3232270633,50612,6,12033,15360,13781.500000,6.380000,32.459999,12.408000,82689,9
400545995,443,3232270643,63840,6,11776,19456,13568.000000,6.520000,8.200000,6.924000,81408,8
