src_ip_u32,src_port,dst_ip_u32,dst_port,proto,len_min,len_max,mean_len,iat_min_us,iat_max_us,mean_iat_us,total_len,flag_bits_sum
3232235928,1880,3232235966,48239,6,13312,63233,33835.500000,5.660000,24.200001,9.708000,203013,9
3232235969,49179,3232235971,5357,6,1281,13312,8790.000000,0.080000,18.559999,7.688000,52740,9
3232235855,9197,3232235971,57513,6,11776,56325,26667.500000,5.160000,17.040001,9.440000,160005,8
3232235855,7678,3232235971,57514,6,11776,56325,26923.500000,11.620000,95.639999,41.512001,161541,8
3232235855,9197,3232235971,57515,6,11776,58368,27478.166016,14.860000,67.300003,35.180000,164869,8
3232235855,7678,3232235971,57516,6,11776,59904,27734.166016,13.240000,75.440002,38.551998,166405,8
3232235855,9197,3232235971,57517,6,11776,56325,25088.833984,17.799999,51.660000,34.316002,150533,8
3232235855,9197,3232235971,57518,6,11776,56325,25088.833984,5.860000,12.540000,8.240000,150533,8
3232235855,9197,3232235971,57519,6,11776,46081,23381.500000,10.300000,27.600000,15.264000,140289,9
3232235855,9197,3232235971,57520,6,11776,44032,22997.666016,5.880000,13.500000,8.872000,137986,9
3232235855,9197,3232235971,57521,6,11776,56325,20310.333984,6.020000,64.800003,20.584000,121862,8
3232235777,41952,3232235971,57522,6,11776,56832,20181.333984,0.380000,73.599998,26.927999,121088,9
3232235855,9197,3232235971,57523,6,11776,45057,19456.333984,6.440000,31.299999,16.115999,116738,9
3232235777,49152,3232235971,57524,6,1796,59136,18518.000000,6.020000,142.100006,44.524002,111108,9
3232235855,9197,3232235971,57525,6,11776,63232,28288.833984,7.440000,78.680000,26.259998,169733,8
3232235855,9197,3232235971,57526,6,11776,61952,28075.500000,5.720000,7.360000,6.604000,168453,8
3232235777,41952,3232235971,57527,6,2561,14080,11136.166992,6.480000,12.040000,9.300000,66817,9
3232235777,41952,3232235971,57528,6,11776,56832,20181.333984,8.500000,13.260000,10.160000,121088,9
3232235855,7678,3232235971,57529,6,11776,56325,26923.500000,5.660000,35.299999,16.308001,161541,8
3232235855,7678,3232235971,57530,6,11776,59904,27734.166016,5.940000,14.120000,7.912000,166405,8
3232235777,41952,3232235971,57531,6,2561,14080,11136.166992,5.920000,6.320000,6.092000,66817,9
3232235855,9197,3232235971,57532,6,11776,56325,26667.500000,9.580000,14.520000,11.100000,160005,8
3232235855,9197,3232235971,57533,6,11776,58368,27478.166016,6.240000,42.660000,17.132000,164869,8
3232235855,9197,3232235971,57534,6,11776,56325,25088.833984,8.180000,17.680000,10.808000,150533,8
3232235855,9197,3232235971,57535,6,11776,56325,25088.833984,5.700000,7.400000,6.124000,150533,8
3232235855,9197,3232235971,57536,6,11776,46081,23381.500000,0.080000,6.680000,5.008000,140289,9
3232235855,9197,3232235971,57537,6,11776,44032,22997.666016,6.300000,11.900000,8.060000,137986,9
3232235855,9197,3232235971,57538,6,11776,56325,20310.333984,6.680000,16.900000,11.488000,121862,8
3232235855,9197,3232235971,57539,6,11776,45057,19456.333984,7.760000,23.740000,12.836000,116738,9
3232235855,9197,3232235971,57540,6,11776,63232,28288.833984,5.920000,7.640000,6.628000,169733,8
3232235855,9197,3232235971,57541,6,11776,61952,28075.500000,5.960000,7.040000,6.592000,168453,8
2508673195,80,3232235966,60896,6,13312,13312,13312.000000,6.740000,5240.500000,1235.400024,79872,6
3232235813,4444,3232235969,49178,6,11776,59392,37376.000000,5.840000,610.299988,129.635986,224256,10
3232235813,8080,3232235969,49180,6,11776,13312,12373.333008,8.360000,82.599998,30.540001,74240,9
3232235813,8080,3232235969,49181,6,11776,13312,12373.333008,5.260000,118.019997,28.603998,74240,9
3232235813,8080,3232235969,49182,6,11776,13312,12373.333008,9.220000,85.760002,26.112000,74240,9
399819401,443,3232235969,49183,6,11776,56325,25259.500000,5.740000,7.180000,6.280000,151557,8
386505511,443,3232235969,49184,6,11776,56325,24875.500000,5.940000,43.000000,20.743999,149253,8
3232235777,49152,3232235971,57548,6,1796,59136,18518.000000,5.640000,34.299999,11.540000,111108,9
3232235813,8080,3232235969,49185,6,11776,13312,12373.333008,5.760000,297.459991,68.996002,74240,9
3232235855,7678,3232235971,57549,6,11776,56325,26923.500000,6.720000,13.200000,10.311999,161541,8
3232235855,7678,3232235971,57550,6,11776,59904,27734.166016,9.140000,20.620001,13.680000,166405,8
3232235855,9197,3232235971,57551,6,11776,56325,26667.500000,6.680000,15.160000,9.952000,160005,8
3232235855,9197,3232235971,57552,6,11776,58368,27478.166016,5.760000,8.660000,7.164000,164869,8
3232235855,9197,3232235971,57553,6,11776,56325,25088.833984,5.960000,6.960000,6.208000,150533,8
3232235855,9197,3232235971,57554,6,11776,56325,25088.833984,5.560000,47.520000,16.160000,150533,8
3232235855,9197,3232235971,57555,6,11776,46081,23381.500000,7.300000,36.820000,16.848000,140289,9
3232235855,9197,3232235971,57556,6,11776,44032,22997.666016,7.940000,19.400000,12.972000,137986,9
3232235855,9197,3232235971,57557,6,11776,56325,20310.333984,6.140000,14.740000,10.820000,121862,8
3232235855,9197,3232235971,57558,6,11776,45057,19456.333984,5.920000,10.940000,7.456000,116738,9
3232235855,9197,3232235971,57559,6,11776,63232,28288.833984,5.580000,13.400000,8.040000,169733,8
3232235855,9197,3232235971,57560,6,11776,61952,28075.500000,7.060000,34.980000,16.063999,168453,8
399819401,443,3232235969,49186,6,5377,56325,18646.333984,5.880000,150.860001,49.136002,111878,8
1964174621,80,3232235969,49187,6,257,31488,13653.500000,5.800000,7.120000,6.180000,81921,9
1964174621,80,3232235969,49188,6,769,31488,13738.833008,5.720000,6.860000,6.048000,82433,9
3232235969,49189,3232235971,5357,6,1281,13312,8790.000000,8.500000,11.400000,9.936000,52740,9
388901659,80,3232235969,49190,6,11776,64512,24362.666016,10.840000,14.320000,12.636000,146176,9
388901659,80,3232235969,49191,6,11776,64512,24362.666016,5.700000,17.240000,10.720000,146176,9
3232235855,7678,3232235971,57561,6,11776,56325,26923.500000,5.700000,10.480000,7.524000,161541,8
3232235855,7678,3232235971,57562,6,11776,59904,27734.166016,5.660000,14.500000,8.340000,166405,8
3232235855,9197,3232235971,57563,6,11776,56325,26667.500000,5.800000,157.279999,40.551998,160005,8
3232235855,9197,3232235971,57564,6,11776,58368,27478.166016,5.520000,1074.839966,222.548004,164869,8
3232235855,9197,3232235971,57565,6,11776,56325,25088.833984,8.740000,11.580000,10.316000,150533,8
3232235855,9197,3232235971,57566,6,11776,56325,25088.833984,10.520000,13.440000,11.628000,150533,8
3232235855,9197,3232235971,57567,6,11776,46081,23381.500000,6.040000,17.980000,10.620000,140289,9
3232235855,9197,3232235971,57568,6,11776,44032,22997.666016,0.200000,15.760000,8.600000,137986,9
3232235855,9197,3232235971,57569,6,11776,56325,20310.333984,1.200000,10.280000,6.844000,121862,8
3232235855,9197,3232235971,57570,6,11776,45057,19456.333984,5.080000,19.440001,8.544000,116738,9
3232235855,9197,3232235971,57571,6,11776,63232,28288.833984,8.780000,14.380000,11.692000,169733,8
3232235855,9197,3232235971,57572,6,11776,61952,28075.500000,7.080000,44.919998,16.836000,168453,8
3232235777,41952,3232235971,57573,6,11776,56832,20181.333984,5.740000,6.220000,5.996000,121088,9
3232235777,41952,3232235971,57574,6,11776,56832,20181.333984,5.840000,7.080000,6.172000,121088,9
3232235777,41952,3232235971,57575,6,2561,14080,11136.166992,5.880000,7.660000,6.320000,66817,9
