sample,cycles
0,9657
1,9954
2,7020
3,5568
4,6351
5,6045
6,5568
7,6072
8,5229
9,8067
10,6495
11,5340
12,5796
13,5634
14,4767
15,5445
16,4683
17,2010
18,1674
19,1701
20,5844
21,1707
22,8058
23,1650
24,4272
25,5130
26,1869
27,5028
28,4410
29,1629
30,5193
31,4284
32,4887
33,2430
34,4830
35,2823
36,4485
37,2211
38,1701
39,1728
40,2721
41,2763
42,3870
43,1986
44,1557
45,1974
46,1542
47,1617
48,3183
49,1596
50,2649
51,3744
52,4884
53,1572
54,1548
55,1512
56,1665
57,1530
58,1968
59,3327
60,1965
61,1845
62,4488
63,2190
64,1632
65,1521
66,1560
67,2373
68,1545
69,1755
70,4197
71,2445
72,1698
73,1857
74,3660
75,3180
76,4092
77,1548
78,1485
79,1467
80,1470
81,1551
82,1524
83,1497
84,1785
85,1470
86,1779
87,1521
88,1572
89,1596
90,1605
91,1467
92,1530
93,1575
94,81921
95,1590
96,1731
97,1737
98,1701
99,1692
100,1692
101,1713
102,1653
103,1803
104,1776
105,1638
106,1797
107,1605
108,1668
109,2043
110,4461
111,1608
112,3072
113,1716
114,1728
115,1665
116,1626
117,146658
118,1548
119,1626
120,2634
121,2664
122,4530
123,2826
124,1560
125,1632
126,20004
127,1557
128,1986
129,3405
130,1629
131,1896
132,1488
133,1494
134,1482
135,1605
136,1686
137,1701
138,1620
139,1770
140,1620
141,1647
142,29469
143,1554
144,82215
145,104373
146,46380
147,1503
148,10614
149,10518
150,1497
151,10503
152,1617
153,126702
154,1581
155,1560
156,1626
157,1635
158,73158
159,1605
160,64329
161,73011
162,1617
163,1635
164,1836
165,1590
166,1494
167,1650
168,1464
169,1557
170,1497
171,1626
172,19725
173,55272
174,1557
175,19725
176,1698
177,55200
178,100182
179,10527
180,106125
181,1620
182,1632
183,1611
184,20610
185,135675
186,28497
187,1791
188,1563
189,19542
190,100170
191,37485
192,1560
193,1695
194,1626
195,1770
196,1671
197,1686
198,1677
199,1665
200,2154
201,38292
202,19608
203,28413
204,10491
205,1710
206,10683
207,1671
208,153714
209,82080
210,31350
211,90828
212,55200
213,55173
214,1533
215,10653
216,55326
217,1566
218,1506
219,10482
220,1560
221,10572
222,10410
223,19599
224,28392
225,1455
226,1479
227,1557
228,19524
229,82071
230,19461
231,76833
232,1917
233,37617
234,235875
235,82176
236,37464
237,100239
238,1734
239,1533
240,55416
241,108804
242,64203
243,1590
244,1608
245,1503
246,1563
247,1494
248,109032
249,55137
250,1482
251,1533
252,1542
253,1428
254,1632
255,100941
256,1590
257,73116
258,81741
259,108879
260,19494
261,1671
262,1485
263,1599
264,1566
265,117942
266,82164
267,37290
268,1476
269,1479
270,1401
271,28407
272,28443
273,64191
274,90822
275,2193
276,110091
277,46224
278,99906
279,19458
280,91167
281,99903
282,28524
283,1491
284,28569
285,1506
286,1593
287,46182
288,37407
289,135708
290,10554
291,28311
292,2169
293,1605
294,1683
295,12072
296,90873
297,10518
298,1626
299,1677
300,55272
301,1581
302,1539
303,1440
304,1476
305,1605
306,1557
307,28470
308,19572
309,55185
310,1527
311,1497
312,1515
313,1470
314,1488
315,1539
316,82143
317,10434
318,99831
319,81933
320,1509
321,46452
322,1410
323,1572
324,99987
325,37446
326,10452
327,19506
328,2754
329,19473
330,1446
331,1485
332,55140
333,28398
334,64119
335,1464
336,1455
337,1512
338,55311
339,37245
340,1536
341,46188
342,46347
343,37293
344,64386
345,10530
346,82047
347,28488
348,10491
349,10386
350,55209
351,10491
352,46278
353,10446
354,56322
355,1527
356,1467
357,73077
358,100053
359,1491
360,10491
361,72957
362,55323
363,135813
364,10488
365,1578
366,1557
367,1470
368,1563
369,1428
370,1554
371,1629
372,1731
373,1461
374,37545
375,1518
376,10629
377,19521
378,82185
379,172611
380,37398
381,37326
382,19359
383,99774
384,1458
385,64053
386,28485
387,10530
388,1422
389,1551
390,19434
391,1521
392,28284
393,82062
394,1485
395,19500
396,10407
397,1506
398,19389
399,46428
400,19347
401,1602
402,99879
403,2139
404,1566
405,1491
406,19485
407,10350
408,64146
409,110049
410,117753
411,46266
412,55293
413,1548
414,153396
415,100044
416,91053
417,46197
418,46398
419,163821
420,28326
421,37287
422,1434
423,55263
424,1437
425,10647
426,46269
427,90885
428,162213
429,64149
430,64341
431,28296
432,100875
433,64164
434,19353
435,10455
436,64146
437,64173
438,64413
439,1617
440,1530
441,37194
442,64029
443,28410
444,64323
445,37323
446,1503
447,1491
448,1542
449,1572
450,82158
451,19455
452,28338
453,1503
454,118707
455,55365
456,1611
457,64047
458,10512
459,109053
460,10494
461,64095
462,46206
463,37389
464,1461
465,117600
466,19656
467,81939
468,91020
469,28422
470,47160
471,109092
472,37266
473,1647
474,19518
475,1473
476,19455
477,1494
478,46266
479,28308
480,126630
481,37365
482,10545
483,1521
484,1440
485,10545
486,90981
487,46170
488,28245
489,46392
490,1443
491,28380
492,72906
493,65457
494,28347
495,28428
496,180087
497,55428
498,37386
499,55179
500,55239
501,28338
502,37272
503,37194
504,1764
505,72849
506,19596
507,19260
508,1461
509,1569
510,1644
511,1494
512,83181
513,91035
514,73092
515,1506
516,10536
517,180546
518,37257
519,28512
520,19563
521,135639
522,64008
523,19551
524,64098
525,37425
526,1455
527,29361
528,73026
529,19434
530,28440
531,1491
532,73107
533,1509
534,28593
535,108921
536,1701
537,82218
538,37410
539,1530
540,189600
541,1452
542,1608
543,37422
544,109851
545,10404
546,144735
547,10536
548,1506
549,28338
550,1401
551,46155
552,10386
553,46272
554,55140
555,90816
556,10476
557,1590
558,64236
559,28272
560,55092
561,46338
562,19503
563,10392
564,64032
565,127599
566,73203
567,46143
568,28527
569,81999
570,28350
571,37209
572,19608
573,28170
574,10503
575,90963
576,99813
577,81831
578,172179
579,10560
580,10413
581,19650
582,1536
583,37332
584,1476
585,37380
586,55026
587,1590
588,1578
589,19602
590,10470
591,28563
592,19488
593,10632
594,46203
595,64035
596,64224
597,46383
598,55266
599,1518
600,19557
601,1596
602,1548
603,28518
604,19587
605,37305
606,20436
607,1542
608,46218
609,82092
610,1527
611,109098
612,37308
613,81924
614,73152
615,19461
616,81873
617,10686
618,10428
619,46260
620,1500
621,19521
622,10683
623,28263
624,55314
625,118911
626,126831
627,37404
628,28428
629,55254
630,46524
631,28377
632,19401
633,46341
634,19425
635,28395
636,46248
637,1536
638,1485
639,37299
640,1527
641,1485
642,37347
643,1563
644,19488
645,81891
646,1440
647,1449
648,109800
649,46317
650,1467
651,10494
652,55026
653,46302
654,10557
655,19389
656,64137
657,10467
658,1530
659,37413
660,1773
661,19347
662,72915
663,73242
664,19476
665,37224
666,19512
667,1488
668,90852
669,1434
670,100887
671,37329
672,10524
673,64092
674,64071
675,46230
676,55092
677,46404
678,1596
679,19623
680,28326
681,73188
682,37239
683,64167
684,55248
685,10746
686,1503
687,1605
688,1533
689,19644
690,46515
691,1467
692,46239
693,1554
694,119850
695,1455
696,1509
697,19545
698,37314
699,10545
700,1596
701,64332
702,126933
703,55203
704,19482
705,1500
706,37449
707,19416
708,1431
709,64206
710,108705
711,46350
712,64221
713,92160
714,1590
715,1608
716,28470
717,19473
718,28188
719,1527
720,1497
721,10632
722,28542
723,10548
724,1530
725,1479
726,1572
727,1488
728,28548
729,37401
730,81924
731,64257
732,64284
733,37251
734,37149
735,46158
736,1497
737,28323
738,55188
739,46416
740,37317
741,18825
742,1584
743,1647
744,1533
745,10983
746,19563
747,10608
748,37329
749,10704
750,37365
751,64302
752,19572
753,1521
754,1560
755,1647
756,1584
757,207588
