sample,cycles
0,9486
1,10371
2,7200
3,5613
4,6000
5,5883
6,5499
7,6165
8,5340
9,8136
10,6138
11,5454
12,5622
13,5784
14,7179
15,6117
16,4965
17,6327
18,5598
19,4437
20,5421
21,5142
22,4527
23,4929
24,4569
25,5469
26,4689
27,4542
28,2076
29,1620
30,1725
31,1611
32,4386
33,2214
34,3996
35,3528
36,3756
37,1584
38,1638
39,1659
40,1521
41,1638
42,1578
43,1632
44,1578
45,4095
46,3885
47,5592
48,3309
49,1584
50,1578
51,1581
52,1575
53,1539
54,1563
55,3408
56,1626
57,1566
58,1500
59,1482
60,1575
61,1533
62,1551
63,1506
64,2868
65,2106
66,1587
67,1527
68,2367
69,3456
70,1521
71,1605
72,1527
73,1515
74,2973
75,1956
76,1491
77,1560
78,1422
79,1578
80,5508
81,1773
82,2949
83,1437
84,2310
85,3534
86,2598
87,2400
88,1545
89,1518
90,1545
91,1419
92,1500
93,1434
94,1494
95,1488
96,1560
97,1560
98,1485
99,1527
100,1464
101,1503
102,1446
103,1638
104,1533
105,1479
106,1545
107,1500
108,1470
109,1443
110,1443
111,1458
112,1446
113,1467
114,1587
115,1383
116,1512
117,1410
118,1488
119,1533
120,1575
121,1392
122,1449
123,4149
124,2007
125,1449
126,1539
127,1446
128,5877
129,2040
130,1593
131,1530
132,1509
133,1500
134,1494
135,1503
136,1509
137,1455
138,1401
139,1455
140,1473
141,1452
142,1431
143,1545
144,1842
145,1479
146,2106
147,1440
148,1467
149,2988
150,3303
151,1449
152,1530
153,1452
154,1428
155,1425
156,1608
157,1464
158,1461
159,2049
160,2646
161,5226
162,1515
163,1467
164,1476
165,1593
166,1446
167,2403
168,3282
169,2076
170,3372
171,1500
172,1395
173,1446
174,1413
175,2559
176,2517
177,2550
178,5451
179,5175
180,4932
181,2289
182,2022
183,1434
184,3168
185,1749
186,3627
187,1416
188,2094
189,4662
190,5694
191,2004
192,1824
193,1761
194,1482
195,1503
196,1719
197,5661
198,2256
199,1470
200,4377
201,1515
202,1413
203,1419
204,3654
205,2592
206,3048
207,1416
208,1473
209,2643
210,6441
211,1446
212,1833
213,1461
214,2028
215,1734
216,3624
217,2277
218,6480
219,4893
220,4365
221,1425
222,1449
223,1968
224,1473
225,2313
226,5496
227,1521
228,2049
229,1428
230,1449
231,1830
232,2751
233,1836
234,1419
235,2871
236,4359
237,1467
238,2013
239,3810
240,2745
241,4662
242,4272
243,2310
244,2805
245,4866
246,3585
247,4317
248,3351
249,3642
250,1419
251,2802
252,1419
253,1491
254,3096
255,1764
256,3756
257,2061
258,3048
259,3939
260,2520
261,2736
262,1413
263,3882
264,3390
265,1770
266,3891
267,2850
268,2022
269,2304
270,6726
271,6114
272,1746
273,1497
274,1452
275,3090
276,1806
277,2274
278,2310
279,2478
280,2589
281,3843
282,2778
283,3360
284,1827
285,1443
286,2814
287,1737
288,1524
289,1479
290,4017
