sample,cycles
0,9717
1,9489
2,6888
3,5634
4,5988
5,5850
6,5406
7,5937
8,5217
9,7977
10,6213
11,5142
12,5814
13,5706
14,4689
15,5040
16,4143
17,5445
18,5040
19,3930
20,2025
21,1623
22,1647
23,1638
24,1638
25,4524
26,1755
27,4269
28,1572
29,4053
30,4575
31,1584
32,2439
33,4755
34,1794
35,3087
36,1518
37,1533
38,1539
39,1689
40,1542
41,1860
42,2649
43,3114
44,1506
45,1533
46,1509
47,3789
48,3657
49,1563
50,2706
51,2937
52,1503
53,1449
54,1896
55,3645
56,1536
57,1455
58,1476
59,3471
60,2679
61,3249
62,2064
63,1776
64,1500
65,1431
66,1536
67,1464
68,1506
69,1449
70,1452
71,1434
72,1482
73,3894
74,1479
75,1881
76,1494
77,2511
78,1467
79,2748
80,3144
81,2100
82,2166
83,1377
84,1482
85,1398
86,2376
87,3138
88,1530
89,1545
90,3174
91,1545
92,1536
93,1533
94,1800
95,1437
96,1713
97,1698
98,3276
99,2034
100,2541
101,2709
102,1905
103,2175
104,1575
105,1473
106,1470
107,1521
108,1458
109,1506
110,1515
111,2355
112,2310
113,1581
114,1479
115,3222
116,2166
117,3114
118,2940
119,1461
120,1497
121,1677
122,1974
123,1425
124,1452
125,1386
126,1485
127,1410
128,1470
129,1482
130,1578
131,1470
132,1422
133,1398
134,3300
135,1506
136,2706
137,1566
138,1440
139,1542
140,1527
141,1710
142,1470
143,1464
144,1422
145,1500
146,1470
147,1455
148,1440
149,1926
150,2619
151,1452
152,1536
153,1416
154,1485
155,1443
156,1518
157,1476
158,1470
159,1434
160,1539
161,1506
162,3894
163,2400
164,1617
165,1608
166,1494
167,1497
168,1818
169,1413
170,1578
171,1404
172,1428
173,1446
174,1803
175,1458
176,1416
177,1479
178,1494
179,1521
180,1548
181,1488
182,1476
183,1575
184,1518
185,1449
186,1596
187,1440
188,1950
189,1677
190,1473
191,1614
192,1503
193,1395
194,1470
195,1500
196,1410
197,1827
198,1500
199,1611
200,1443
201,1488
202,1725
203,1521
204,1443
205,1518
206,1458
207,1461
208,1473
209,1419
210,1509
211,1440
212,1599
213,1671
214,1701
215,1410
216,1425
217,1515
218,1446
219,1917
220,1470
221,1431
222,1461
223,1431
224,1485
225,1470
226,1650
227,1596
228,1419
229,1419
230,1419
231,1443
232,1470
233,5913
234,1476
235,1734
236,1434
237,1632
238,1500
239,1599
240,1512
241,1491
242,1416
243,1518
244,1485
245,1584
246,1548
247,1548
248,1764
249,1692
250,1617
251,1464
252,1719
253,1455
254,1515
255,1467
256,1536
257,1434
258,1509
259,1488
260,1467
261,1689
262,1401
263,1509
264,1389
265,1737
266,1431
267,1455
268,1554
269,1683
270,1494
271,1629
272,1449
273,1464
274,1521
275,1470
276,1470
277,1413
278,1494
279,1506
280,1593
281,1452
282,1500
283,1440
284,1698
285,1521
286,1494
287,1440
288,1818
289,1464
290,1485
291,1623
292,1701
293,1560
294,1710
295,1449
296,1440
297,1542
298,1449
299,1569
300,1488
301,1587
302,1443
303,1677
304,1479
305,1515
306,1749
307,1476
308,1446
309,1470
310,1431
311,1419
312,1500
313,1473
314,1521
315,1455
316,1563
317,1605
318,1758
319,1503
320,1509
321,1446
322,1482
323,1683
324,1494
325,1509
326,1476
327,1485
328,1443
329,1452
330,1647
331,1686
332,1449
333,1470
334,1464
335,1551
336,1446
337,1434
338,1455
339,1458
340,1452
341,1605
342,1446
343,1482
344,1527
345,1518
346,1668
347,1746
348,1884
349,1743
350,1536
351,1452
352,1548
353,1416
354,1479
355,1584
356,1758
357,1545
358,1419
359,1422
360,1371
361,1467
362,1701
363,1434
364,1383
365,1719
366,1437
367,1488
368,1689
369,1401
370,1476
371,1425
372,1497
373,1863
374,1602
375,1485
376,1653
377,1530
378,1932
379,1470
380,1491
381,1497
382,1479
383,1425
384,1398
385,1461
386,1413
387,1509
388,1404
389,1584
390,1434
391,1650
392,1614
393,1500
394,1518
395,1434
396,1488
397,1602
398,1425
399,1449
400,1434
401,1554
402,1461
403,1485
404,1596
405,1491
406,1491
407,1497
408,1479
409,1650
410,1653
411,1479
412,1572
413,1446
414,1638
415,1557
416,1482
417,1827
418,1641
419,1698
420,1902
421,1494
422,1437
423,1755
424,1449
425,1668
426,1431
427,1503
428,1911
429,1581
430,1587
431,1656
432,1431
433,1647
434,1494
435,1536
436,1650
437,1569
438,1569
439,1410
440,1524
441,1410
442,1386
443,1731
444,1506
445,1635
446,1659
447,1665
448,1503
449,1470
450,1497
451,1425
452,1473
453,1551
454,1458
455,1542
456,1782
457,1581
458,1764
459,1872
460,1506
461,1425
462,1455
463,1473
464,1518
465,1542
466,1566
467,1509
468,1566
469,1470
470,1479
471,1569
472,1683
473,1626
474,1677
475,1371
476,1611
477,1473
478,1797
479,1491
480,1695
481,1548
482,1467
483,1668
484,1677
485,1482
486,1425
487,1485
488,1524
489,1674
490,1434
491,1581
492,1674
493,1521
494,1500
495,1419
496,1515
497,1449
498,1737
499,1458
500,1671
501,1743
502,1749
503,1497
504,1482
505,1587
506,1599
507,1752
508,1455
509,1635
510,1608
511,1521
512,1674
513,1665
514,1638
515,1557
516,1557
517,1536
518,1398
519,1626
520,1626
521,1515
522,1503
523,1590
524,1794
525,1602
526,1674
527,1410
528,1557
529,1575
530,1533
531,1467
532,1596
533,1776
534,1746
535,1470
536,1500
537,1587
538,1479
539,1356
540,1437
541,1446
542,1482
543,1404
544,1728
545,1425
546,1440
547,1479
548,1563
549,1641
550,1869
551,1578
552,1566
553,1584
554,1392
555,1575
556,1452
557,1809
558,1440
559,1710
560,1362
561,1629
562,1470
563,1587
564,1629
565,1425
566,1476
567,1725
568,1524
569,1440
570,1398
571,1953
