sample,cycles
0,10050
1,12576
2,7164
3,5472
4,5991
5,1917
6,5277
7,6051
8,7764
9,5565
10,6552
11,6792
12,3672
13,5418
14,4938
15,2559
16,5037
17,3462
18,4848
19,2211
20,4350
21,6150
22,5136
23,2091
24,5055
25,2370
26,2400
27,5529
28,5040
29,4383
30,4566
31,4791
32,1767
33,1725
34,1554
35,1542
36,2304
37,1611
38,1641
39,1623
40,1506
41,1560
42,1557
43,1818
44,1548
45,1590
46,1956
47,4896
48,1533
49,1512
50,2478
51,2346
52,1572
53,1482
54,1569
55,1551
56,1578
57,1491
58,1506
59,1482
60,1509
61,1479
62,1578
63,1488
64,1524
65,1497
66,1410
67,1473
68,1491
69,1467
70,1500
71,2628
72,1497
73,1473
74,1398
75,1518
76,1422
77,1914
78,2091
79,6687
80,1479
81,1452
82,1503
83,1545
84,1722
85,1938
86,1449
87,1431
88,1524
89,2082
90,1473
91,1944
92,2583
93,1437
94,1476
95,1416
96,1509
97,1464
98,1443
99,2178
100,1941
101,1704
102,1443
103,1470
104,2259
105,1494
106,1500
107,1464
108,2925
109,2181
110,1818
111,1491
112,1515
113,1680
114,5151
115,1557
116,2163
117,2709
118,1476
119,1482
120,1470
121,1425
122,1500
123,1545
124,2502
125,3897
126,1557
127,1839
128,2499
129,1503
130,1404
131,1530
132,1911
133,1683
134,1656
135,1497
136,1449
137,1926
138,1713
139,1470
140,3411
141,1788
142,1485
143,1656
144,2268
145,2493
146,1542
147,1911
148,1455
149,1464
150,2994
151,1413
152,1854
153,1407
154,1998
155,1605
156,2085
157,2385
158,1620
159,1491
160,1770
161,1836
162,1962
163,3882
164,2148
165,1497
166,1875
167,2109
168,1446
169,1464
170,1947
171,2085
172,1410
173,1503
174,1563
175,2772
176,1818
177,1533
178,2244
179,1857
180,1635
181,1395
182,1542
183,1521
184,1788
185,1785
186,1725
187,1437
188,2436
189,1779
190,1746
191,1845
192,1644
193,1767
194,1446
195,1971
196,1743
197,2103
198,1440
199,1803
200,2169
201,1836
202,1617
203,2403
204,1467
205,1740
206,1563
207,1923
208,1830
209,1899
210,1746
211,1743
212,1716
213,1425
214,1932
215,1845
