sample,cycles
0,1926
1,357
2,399
3,315
4,414
5,315
6,309
7,414
8,384
9,342
10,429
11,309
12,297
13,357
14,276
15,489
16,411
17,324
18,384
19,315
20,357
21,291
22,312
23,369
24,405
25,297
26,312
27,381
28,372
29,279
30,324
31,366
32,291
33,321
34,354
35,315
36,285
37,267
38,285
39,291
40,276
41,261
42,288
43,288
44,279
45,264
46,282
47,294
48,327
49,291
50,321
51,267
52,318
53,360
54,261
55,288
56,288
57,270
58,282
59,282
60,264
61,267
62,318
63,267
64,297
65,264
66,297
67,315
68,336
69,243
70,315
71,249
72,255
73,264
74,252
75,246
76,276
77,306
78,276
79,309
80,252
81,249
82,276
83,291
84,240
85,270
86,297
87,267
88,279
89,306
90,261
91,309
92,339
93,303
94,324
95,282
96,270
97,273
98,261
99,264
100,264
101,270
102,252
103,246
104,240
105,267
106,306
107,255
108,282
109,255
110,270
111,270
112,264
113,291
114,255
115,300
116,261
117,285
118,279
119,261
120,273
121,246
122,261
123,270
124,258
125,282
126,252
127,264
128,264
129,294
130,258
131,252
132,258
133,261
134,333
135,252
136,354
137,258
138,294
139,243
140,264
141,279
142,255
143,258
144,255
145,330
146,249
147,249
148,246
149,258
150,288
151,255
152,273
153,288
154,303
155,273
156,279
157,246
158,267
159,288
160,255
161,246
162,264
163,249
164,258
165,267
166,258
167,360
168,252
169,261
170,279
171,243
172,246
173,297
174,303
175,255
176,246
177,249
178,246
179,246
180,294
181,264
182,255
183,324
184,315
185,306
186,273
187,246
188,246
189,249
190,309
191,312
192,258
193,291
194,255
195,330
196,270
197,255
198,258
199,255
200,279
201,255
202,255
203,243
204,255
205,273
206,246
207,243
208,300
209,261
210,252
211,249
212,252
213,252
214,249
215,252
216,252
217,264
218,246
219,255
220,312
221,231
222,261
223,312
224,255
225,264
226,267
227,264
228,252
229,270
230,270
231,252
232,252
233,249
234,267
235,246
236,312
237,243
238,294
239,252
240,234
241,303
242,282
243,243
244,243
245,252
246,246
247,240
248,255
249,249
250,246
251,252
252,261
253,267
254,246
255,297
