sample,cycles
0,9213
1,9978
2,1941
3,6795
4,5544
5,6180
6,5898
7,1692
8,5691
9,5913
10,5364
11,7749
12,1653
13,6399
14,1656
15,5295
16,5691
17,1686
18,5433
19,4740
20,1947
21,5226
22,4632
23,1752
24,6120
25,4926
26,1656
27,4284
28,4791
29,1599
30,4707
31,4104
32,4179
33,2415
34,3981
35,3885
36,4125
37,3810
38,1617
39,1656
40,1617
41,3021
42,1788
43,3918
44,3558
45,1701
46,4905
47,1623
48,1524
49,1491
50,1470
51,2544
52,2883
53,1968
54,1569
55,3186
56,5463
57,2517
58,1662
59,1527
60,1527
61,3102
62,4620
63,2142
64,4194
65,3144
66,1560
67,3102
68,1572
69,1647
70,1482
71,1548
72,1491
73,1536
74,1497
75,1659
76,3552
77,1743
78,1497
79,1512
80,1524
81,1509
82,1491
83,1425
84,1488
85,1488
86,1530
87,1422
88,1584
89,1491
90,2706
91,2286
92,2487
93,1536
94,3645
95,1497
96,1446
97,1521
98,1398
99,2034
100,2520
101,1518
102,1473
103,1473
104,1437
105,1446
106,1488
107,1533
108,1419
109,167547
110,1701
111,1950
112,1734
113,1653
114,1785
115,4116
116,1761
117,1542
118,1701
119,1581
120,1599
121,1686
122,1656
123,1500
124,1638
125,1467
126,1608
127,1590
128,1920
129,1722
130,1626
131,142092
132,2352
133,1962
134,2244
135,1557
136,1524
137,1506
138,1533
139,2127
140,2133
141,1470
142,175977
143,1554
144,1488
145,1593
146,2130
147,3531
148,1575
149,1884
150,1767
151,1428
152,1458
153,1458
154,110256
155,1467
156,1545
157,349419
158,1575
159,1968
160,1512
161,595221
162,71181
163,1641
164,1500
165,105981
166,244950
167,176985
168,489396
169,106029
170,36372
171,1536
172,1590
173,36465
174,350400
175,558138
176,1515
177,71367
178,1593
179,1455
180,175575
181,314631
182,1563
183,36420
184,1539
185,1557
186,1554
187,1488
188,2619
189,4587
190,1566
191,1509
192,1497
193,1413
194,1659
195,1524
196,1533
197,1584
198,1554
199,247521
200,1470
201,1554
202,71229
203,1836
204,1569
205,314697
206,324504
207,106710
208,1581
209,105912
210,1494
211,1488
212,210519
213,175428
214,71334
215,282165
216,523296
217,1569
218,36405
219,315591
220,1617
221,210177
222,1719
223,1419
224,1617
225,1992
226,36594
227,1650
228,1689
229,1665
230,1521
231,420033
232,2196
233,140856
234,36417
235,106140
236,71157
237,1632
238,1572
239,1698
240,1437
241,1578
242,1656
243,210429
244,107715
245,36252
246,1623
247,1485
248,1662
249,558225
250,1692
251,350454
252,419190
253,385170
254,1737
255,419190
256,1602
257,105828
258,1494
259,141579
260,279855
261,245019
262,105927
263,247815
264,279837
265,1623
266,460788
267,71307
268,384276
269,1500
270,665190
271,175935
272,106188
273,350598
274,71223
275,1617
276,106101
277,279963
278,1674
279,1491
280,1575
281,1689
282,211272
283,558645
284,1611
285,1644
286,36447
287,245925
288,36396
289,175608
290,71058
291,280170
292,72330
293,71403
294,1719
295,1662
296,1647
297,71322
298,1629
299,1779
300,1767
301,175722
302,1575
303,71271
304,36333
305,175503
306,461196
307,1563
308,1503
309,314763
310,316545
311,175458
312,71250
313,349287
314,176397
315,105927
316,140997
317,314499
318,142356
319,106071
320,1602
321,1530
322,71346
323,71133
324,106014
325,36366
326,1737
327,1494
328,140697
329,211122
330,175497
331,454356
332,454995
333,1740
334,1686
335,1416
336,210354
337,1647
338,71892
339,281115
340,454134
341,524526
342,1497
343,140946
344,420159
345,71157
346,71169
347,71100
348,71196
349,1506
350,1530
351,105987
352,1641
353,1746
354,175596
355,281007
356,1464
357,1593
358,1581
359,36438
360,627882
361,1533
362,71952
363,1626
364,1605
365,245196
366,523662
367,1467
368,211230
369,71130
370,140655
371,175299
372,385296
373,175590
374,36339
375,36387
376,71238
377,105882
378,350388
379,1710
380,1632
381,280245
382,1494
383,71049
384,245025
385,37101
386,384420
387,71085
388,36297
389,419751
390,36264
391,109074
392,1713
393,1689
394,1626
395,71577
396,490032
397,245751
398,1647
399,1629
400,1680
401,1704
402,106137
403,71160
404,1473
405,1470
406,140784
407,1542
408,246096
409,36420
410,105996
411,594282
412,71349
413,175905
414,106050
415,245046
416,245868
417,279810
418,36396
419,314535
420,281154
421,175770
422,1737
423,71301
424,349596
425,177336
426,1593
427,245031
428,245349
429,1611
430,280689
431,384831
432,105990
433,385047
434,314916
435,1713
436,36588
437,454428
438,245187
439,71406
440,36378
441,1491
442,71127
443,36441
444,105990
445,803013
446,182568
447,36465
448,36387
449,105969
450,175410
451,175296
452,36435
453,1530
454,142608
455,349296
456,71250
457,210351
458,246009
459,384609
460,36456
461,1689
462,454623
463,419151
464,316119
465,523725
466,1599
467,1515
468,1536
469,1686
470,1497
471,106647
472,210366
473,1530
474,175530
475,105819
476,489120
477,663777
478,36456
479,314682
480,210240
481,454422
482,315105
483,384972
484,314739
485,385134
486,36252
487,36501
488,1449
489,36534
490,314802
491,1629
492,175686
493,176511
494,105900
495,245109
496,1500
497,279855
498,141441
499,1467
500,71187
501,1413
502,1542
503,36357
504,71106
505,105915
506,210354
507,71028
508,71166
509,802620
510,489798
511,71127
512,1608
513,1503
514,105891
515,211218
516,70986
517,314715
518,1446
519,36510
520,106032
521,1722
522,71193
523,245757
524,140703
525,488901
526,141411
527,71127
528,384354
529,1506
530,36342
531,105693
532,1596
533,140982
534,141645
535,36336
536,384369
537,315372
538,1560
539,175512
540,1623
541,314796
542,454716
543,1476
544,140883
545,36339
546,314652
547,106740
548,1554
549,36408
550,71145
551,36441
552,71052
553,384261
554,1449
555,1542
556,140826
557,1554
558,1530
559,37143
560,71103
561,1419
562,1452
563,279975
564,349506
565,315936
566,245250
567,279834
568,489483
569,105948
570,106113
571,280662
572,245328
573,36294
574,314658
575,529782
576,140823
577,1572
578,71094
579,71400
580,107856
581,71094
582,105987
583,210516
584,1644
585,210366
586,105834
587,176514
588,1548
589,279975
590,314514
591,350232
592,71169
593,1611
594,36468
595,1581
596,71310
597,175605
598,143214
599,36390
600,1491
601,140679
602,175611
603,1437
604,175401
605,733692
606,71190
607,71244
608,1671
609,106014
610,1755
611,246294
612,523698
613,71208
614,37080
615,36465
616,71370
617,314943
618,1539
619,175635
620,246162
621,105978
622,36468
623,36282
624,244839
625,175536
626,245976
627,1671
628,1485
629,1443
630,71244
631,1602
632,175731
633,349332
634,176454
635,36333
636,245220
637,36381
638,349467
639,176211
640,175494
641,71238
642,105948
643,175401
644,176337
645,140661
646,1677
647,210381
648,71064
649,175677
650,1599
651,245970
652,349392
653,175371
654,246312
655,349755
656,106056
657,105972
658,1524
659,1500
660,211350
661,244968
662,36408
663,105969
664,175521
665,105756
666,1536
667,141519
668,314670
669,71130
670,140964
671,140778
672,106644
673,140562
674,175764
675,384603
676,71844
677,175563
678,210402
679,1515
680,1578
681,106029
682,1470
683,71343
684,1677
685,36162
686,280467
687,1485
688,454026
689,245778
690,175494
691,36330
692,140766
693,36222
694,105987
695,1434
696,1533
697,1428
698,105858
699,70947
700,489255
701,71163
702,1482
703,384993
704,140799
705,36417
706,36450
707,279867
708,210276
709,37206
710,71085
711,175443
712,36285
713,140853
714,1521
715,210108
716,1521
717,419901
718,1701
719,488616
720,176232
721,175620
722,1821
723,71184
724,105885
725,1578
726,1638
727,105822
728,105912
729,286119
730,140805
731,106248
732,36318
733,105963
734,246786
735,140760
736,175485
737,279867
738,176316
739,1467
740,36501
741,106002
742,71157
743,1545
744,71361
745,314625
746,140550
747,141660
748,36393
749,36684
750,1695
751,105867
752,71262
753,36486
754,105924
755,70989
756,1509
757,71121
758,1506
759,1524
760,105933
761,1440
762,385134
763,36516
764,106275
765,175428
766,71151
767,175995
768,140559
769,1488
770,1653
771,175605
772,36438
773,71112
774,140817
775,245991
776,36510
777,106047
778,36261
779,280047
780,211158
781,349452
782,1677
783,210255
784,280725
785,349578
786,1551
787,140658
788,175776
789,36348
790,1596
791,37170
792,245292
793,36246
794,175530
795,279927
796,315543
797,36321
798,210387
799,1440
800,71103
801,140616
802,141600
803,36291
804,279735
805,140637
806,140706
807,1476
808,141405
809,279936
810,36342
811,279981
812,280746
813,175440
814,71130
815,210381
816,106077
817,280680
818,175566
819,36336
820,1539
821,314871
822,419847
823,245019
824,210288
825,419823
826,210255
827,280605
828,279927
829,1548
830,210342
831,210408
832,106899
833,36432
834,1563
835,245058
836,245025
837,246219
838,210408
839,210288
840,279648
841,176412
842,593613
843,106809
844,279888
845,210303
846,244959
847,246009
848,140940
849,105876
850,105834
851,175395
852,71808
853,140784
854,210543
855,1605
856,454377
857,71244
858,106014
859,36303
860,140736
861,245247
862,558849
863,245046
864,320322
865,71313
866,140973
867,349494
868,385980
869,210303
870,140874
871,36507
872,36432
873,176442
874,175722
875,175431
876,210198
877,1626
878,245673
879,279654
880,1677
881,1479
882,106008
883,71073
884,105972
885,280686
886,245313
887,1509
888,1500
889,1545
890,71070
891,210198
892,71262
893,315327
894,36363
895,1443
896,36507
897,1587
898,106233
899,36507
900,210237
901,71877
902,71052
903,1494
904,36228
905,140832
906,1494
907,71259
908,105960
909,71148
910,36351
911,175299
912,176310
913,175443
914,71139
915,175626
916,71277
917,384996
918,140613
919,36390
920,175656
921,280833
922,36282
923,175497
924,1569
925,140730
926,71310
927,36318
928,106032
929,36453
930,106065
931,176370
932,140844
933,71076
934,140787
935,1476
936,71058
937,175593
938,280779
939,36474
940,36327
941,71187
942,1467
943,175446
944,105855
945,36354
946,245985
947,1518
948,106056
949,175479
950,71316
951,105852
952,140613
953,315462
954,349425
955,315270
956,71046
957,175476
958,175446
959,140568
960,71160
961,143271
962,140694
963,245256
964,36366
965,454995
966,1593
967,36414
968,175608
969,210426
970,280890
971,140754
972,140643
973,140832
974,71235
975,1593
976,36429
977,1545
978,280842
979,1527
980,1620
981,105879
982,36324
983,1482
984,71145
985,71085
986,36330
987,210177
988,71148
989,71118
990,176220
991,175647
992,175704
993,105858
994,1458
995,175434
996,107262
997,279756
998,245232
999,1560
1000,350352
1001,71322
1002,140802
1003,36525
1004,1596
1005,140916
1006,105894
1007,141363
1008,71031
1009,349272
1010,419547
1011,210297
1012,349437
1013,176205
1014,140682
1015,71265
1016,36438
1017,418989
1018,71040
1019,419922
1020,1734
1021,36411
1022,71259
1023,71076
1024,140772
1025,146568
1026,279792
1027,384453
1028,1650
1029,211911
1030,140778
1031,1581
1032,105900
1033,105945
1034,105726
1035,1503
1036,175446
1037,1533
1038,245589
1039,36462
1040,175488
1041,419799
1042,175587
1043,71175
1044,36276
1045,140634
1046,140817
1047,175740
1048,141624
1049,71109
1050,36255
1051,1455
1052,1482
1053,140856
1054,71217
1055,1731
1056,210186
1057,1452
1058,106014
1059,142455
1060,106047
1061,140691
1062,384123
1063,593991
1064,70986
1065,284943
1066,71061
1067,71082
1068,71181
1069,244980
1070,246204
1071,314505
1072,106074
1073,105903
1074,71364
1075,176409
1076,175857
1077,314631
1078,454671
1079,1557
1080,314886
1081,1581
1082,105885
1083,175452
1084,176475
1085,71190
1086,105975
1087,1461
1088,1548
1089,175575
1090,105969
1091,36363
1092,36288
1093,662985
1094,71067
1095,105972
1096,71082
1097,210873
1098,210138
1099,36384
1100,210303
1101,176295
1102,36294
1103,106053
1104,210399
1105,1539
1106,106080
1107,105828
1108,36498
1109,36495
1110,245811
1111,1443
1112,175530
1113,175641
1114,36393
1115,105942
1116,386100
1117,71250
1118,71292
1119,36324
1120,279915
1121,315558
1122,1524
1123,71172
1124,36372
1125,245028
1126,454509
1127,244935
1128,36543
1129,105936
1130,175731
1131,211080
1132,36339
1133,105819
1134,1470
1135,140562
1136,71244
1137,140733
1138,176136
1139,175347
1140,279759
1141,175512
1142,246231
1143,140817
1144,36450
1145,175554
1146,71142
1147,71070
1148,140709
1149,72030
1150,140931
1151,210384
1152,36237
1153,384999
1154,106059
1155,175587
1156,279918
1157,140796
1158,245964
1159,384033
1160,280584
1161,105891
1162,314739
1163,389331
1164,36420
1165,106017
1166,349299
1167,106017
1168,177249
1169,349533
1170,314619
1171,1542
1172,280668
1173,245109
1174,71166
1175,140805
1176,71202
1177,36372
1178,106677
1179,1518
1180,175560
1181,106029
1182,210258
1183,36300
1184,106017
1185,106716
1186,175413
1187,210387
1188,244959
1189,319026
1190,210246
1191,210324
1192,1500
1193,71367
1194,71043
1195,142173
1196,140667
1197,244863
1198,71112
1199,36357
1200,175491
1201,211245
1202,1656
1203,71133
1204,175671
1205,210231
1206,246009
1207,105903
1208,314565
1209,210372
1210,245865
1211,140925
1212,36294
1213,314541
1214,280758
1215,245280
1216,71454
1217,175392
1218,175641
1219,37188
1220,71004
1221,140916
1222,349284
1223,1599
1224,71043
1225,141516
1226,1470
1227,36414
1228,1653
1229,36354
1230,1464
1231,105960
1232,210222
1233,71019
1234,36405
1235,1458
1236,175452
1237,210831
1238,1533
1239,36327
1240,140727
1241,36351
1242,1518
1243,105975
1244,1416
1245,210225
1246,176553
1247,36324
1248,105930
1249,1488
1250,175503
1251,314727
1252,211053
1253,279945
1254,245184
1255,211215
1256,1440
1257,175566
1258,1515
1259,279852
1260,105936
1261,1452
1262,71166
1263,71043
1264,176268
1265,36282
1266,1617
1267,1581
1268,106137
1269,36441
1270,1536
1271,106011
1272,175404
1273,105807
1274,141585
1275,140583
1276,106062
1277,36390
1278,245040
1279,315516
1280,36558
1281,105978
1282,1476
1283,314727
1284,244932
1285,280770
1286,453939
1287,176307
1288,384105
1289,314670
1290,176418
1291,175512
1292,140706
1293,140601
1294,454941
1295,140550
1296,36324
1297,105873
1298,1503
1299,71127
1300,105945
1301,36390
1302,246012
1303,71151
1304,36459
1305,106074
1306,210357
1307,36237
1308,176304
1309,210297
1310,36402
1311,280011
1312,140736
1313,356622
1314,71226
1315,1866
1316,105996
1317,1542
1318,36465
1319,175605
1320,1524
1321,316632
1322,175674
1323,36420
1324,245142
1325,211041
1326,140772
1327,384147
1328,251106
1329,418950
1330,71160
1331,420414
1332,210372
1333,36546
1334,279954
1335,211272
1336,105960
1337,210363
1338,106095
1339,140667
1340,176916
1341,349611
1342,1653
1343,210276
1344,175782
1345,280611
1346,71175
1347,105990
1348,210432
1349,71331
1350,72021
1351,105939
1352,106092
1353,36507
1354,384246
1355,245805
1356,210375
1357,36354
1358,36399
1359,245148
1360,176310
1361,384153
1362,71193
1363,71133
1364,315471
1365,175539
1366,175455
1367,71019
1368,210090
1369,36402
1370,1845
1371,176451
1372,140664
1373,175362
1374,105939
1375,105996
1376,71184
1377,176229
1378,106086
1379,140763
1380,36366
1381,245301
1382,246141
1383,175485
1384,140703
1385,140868
1386,105810
1387,36453
1388,176370
1389,175500
1390,105945
1391,106113
1392,105909
1393,36315
1394,71127
1395,350346
1396,280032
1397,36393
1398,175557
1399,141534
1400,106107
1401,105912
1402,36492
1403,71346
1404,140886
1405,140727
1406,176649
1407,71157
1408,36396
1409,1470
1410,210405
1411,105915
1412,210234
1413,140820
1414,1494
1415,37806
1416,175518
1417,71244
1418,175581
1419,36378
1420,71082
1421,175713
1422,1494
1423,108105
1424,280275
1425,71310
1426,1704
1427,175662
1428,246711
1429,1665
1430,71313
1431,106080
1432,71250
1433,105876
1434,71289
1435,105903
1436,420114
1437,71271
1438,1632
1439,1596
1440,210378
1441,140925
1442,1695
1443,140874
1444,141849
1445,71271
1446,106215
1447,279921
1448,1539
1449,36576
1450,106107
1451,176916
1452,36462
1453,175635
1454,36510
1455,106107
1456,210345
1457,36384
1458,106728
1459,140799
1460,488382
1461,389868
1462,71259
1463,36528
1464,210357
1465,210300
1466,246903
1467,175563
1468,105915
1469,71130
1470,210441
1471,106674
1472,106143
1473,175629
1474,210246
1475,280719
1476,140847
1477,140784
1478,1473
1479,105966
1480,245058
1481,141828
1482,36330
1483,210288
1484,175380
1485,140745
1486,105966
1487,176457
1488,36516
1489,106062
1490,175416
1491,175536
1492,140592
1493,70977
1494,315360
1495,36369
1496,245208
1497,1530
1498,36738
1499,176709
1500,105969
1501,245034
1502,244965
1503,140742
1504,71829
1505,210288
1506,71199
1507,36270
1508,105969
1509,36399
1510,36459
1511,71148
1512,105924
1513,385032
1514,210441
1515,36393
1516,210213
1517,71979
1518,105855
1519,1434
1520,245028
1521,210213
1522,106074
1523,176109
1524,140649
1525,140703
1526,349377
1527,245868
1528,140790
1529,245082
1530,71238
1531,71184
1532,36387
1533,71070
1534,176142
1535,140628
1536,1521
1537,105957
1538,105927
1539,36402
1540,210276
1541,211116
1542,140721
1543,140889
1544,1515
1545,106113
1546,245847
1547,105864
1548,36420
1549,1569
1550,314679
1551,1626
1552,36648
1553,105972
1554,385311
1555,175491
1556,384396
1557,245847
1558,36519
1559,140598
1560,419934
1561,36849
1562,211374
1563,106107
1564,314640
1565,107640
1566,1581
1567,106152
1568,175692
1569,210576
1570,140784
1571,71151
1572,71091
1573,107712
1574,36465
1575,210384
1576,71151
1577,314928
1578,72696
1579,1620
1580,175842
1581,1566
1582,105975
1583,244980
1584,36297
1585,71322
1586,106134
1587,107274
1588,71151
1589,106194
1590,140745
1591,140715
1592,210216
1593,176415
1594,175539
1595,1470
1596,71451
1597,1506
1598,140883
1599,385239
1600,140889
1601,36396
1602,175449
1603,105927
1604,105942
1605,71139
1606,36282
1607,106830
1608,36318
1609,245256
1610,245061
1611,140712
1612,112302
1613,36510
1614,349419
1615,36489
1616,490314
1617,71238
1618,349416
1619,211179
1620,175791
1621,1521
1622,1638
1623,71334
1624,105903
1625,36327
1626,1830
1627,175452
1628,280917
1629,106023
1630,106035
1631,71172
1632,106197
1633,175689
1634,246024
1635,175617
1636,244947
1637,315219
1638,349572
1639,210444
1640,140580
1641,71211
1642,71976
1643,175647
1644,71430
1645,140709
1646,244977
1647,176460
1648,279843
1649,210345
1650,210261
1651,106650
1652,71205
1653,245151
1654,140853
1655,71061
1656,245991
1657,245094
1658,140811
1659,105960
1660,210387
1661,211131
1662,314472
1663,71109
1664,1527
1665,71166
1666,140799
1667,38895
1668,106161
1669,175398
1670,245097
1671,106224
1672,106020
1673,176883
1674,245025
1675,245112
1676,36549
1677,246000
1678,105981
1679,36513
1680,36267
1681,140862
1682,36453
1683,140610
1684,176337
1685,244836
1686,105927
1687,141006
1688,210249
1689,176313
1690,244773
1691,1533
1692,140934
1693,36387
1694,71097
1695,210354
1696,245844
1697,210150
1698,71112
1699,140862
1700,71217
1701,36348
1702,280269
1703,106029
1704,384273
1705,141681
1706,106113
1707,245100
1708,105852
1709,210240
1710,36381
1711,315471
1712,314760
1713,280518
1714,71034
1715,140826
1716,140637
1717,140838
1718,280827
1719,36444
1720,105987
1721,279759
1722,210315
1723,106596
1724,1662
1725,175524
1726,36339
1727,244794
1728,1572
1729,210216
1730,245778
1731,140739
1732,279912
1733,71166
1734,105912
1735,36666
1736,211035
1737,210348
1738,1566
1739,105882
1740,140607
1741,176352
1742,1509
1743,140751
1744,36351
1745,36465
1746,454032
1747,146268
1748,71361
1749,140733
1750,1482
1751,1536
1752,36336
1753,1560
1754,140679
1755,105825
1756,106011
1757,105891
1758,177369
1759,1650
1760,106080
1761,36393
1762,140733
1763,140754
1764,210285
1765,71967
1766,71253
1767,36390
1768,106050
1769,106110
1770,349683
1771,176811
1772,140694
1773,140793
1774,1455
1775,175821
1776,1587
1777,71136
1778,1581
1779,71160
1780,176535
1781,1539
1782,36420
1783,71043
1784,36282
1785,140637
1786,140865
1787,105963
1788,140667
1789,37005
1790,140883
1791,108564
1792,36672
1793,36555
1794,140778
1795,489834
1796,71598
1797,105903
1798,106068
1799,210651
1800,454890
1801,1845
1802,36549
1803,106239
1804,71274
1805,1569
1806,210531
1807,106911
1808,106023
1809,71277
1810,105933
1811,71478
1812,71244
1813,71196
1814,1665
1815,175740
1816,72135
1817,71061
1818,1665
1819,453894
1820,1731
1821,210387
1822,281061
1823,36555
1824,36582
1825,1611
1826,105951
1827,36414
1828,105969
1829,140637
1830,1659
1831,246108
1832,36387
1833,175392
1834,140817
1835,210360
1836,142122
1837,71238
1838,279717
1839,210201
1840,71310
1841,317400
1842,71382
1843,245151
1844,281370
1845,71262
1846,210351
1847,140787
1848,210270
1849,105846
1850,211266
1851,314520
1852,105861
1853,245910
1854,245211
1855,244992
1856,140595
1857,211020
1858,140916
1859,140877
1860,105753
1861,245088
1862,245952
1863,36639
1864,140739
1865,175629
1866,105789
1867,211416
1868,175359
1869,36663
1870,1806
1871,1803
1872,71232
1873,140721
1874,106257
1875,36438
1876,246105
1877,1494
1878,105981
1879,71127
1880,105921
1881,175584
1882,71175
1883,281229
1884,105996
1885,36426
1886,314955
1887,36552
1888,105942
1889,176661
1890,175398
1891,140715
1892,71148
1893,210513
1894,36468
1895,1779
1896,419844
1897,314604
1898,106434
1899,36354
1900,106749
1901,105999
1902,140721
1903,141045
1904,211701
1905,36534
1906,211272
1907,140799
1908,175887
1909,210156
1910,460578
1911,140958
1912,106326
1913,175515
1914,1776
1915,351312
1916,175971
1917,385980
1918,106293
1919,71397
1920,140958
1921,71154
1922,106143
1923,315921
1924,245109
1925,36585
1926,279825
1927,176868
1928,36567
1929,279987
1930,71271
1931,71391
1932,1713
1933,385194
1934,36720
1935,314820
1936,140826
1937,106068
1938,36411
1939,36462
1940,211245
1941,36561
1942,71232
1943,106074
1944,71199
1945,140697
1946,71157
1947,71259
1948,176700
1949,245259
1950,140760
1951,315489
1952,210237
1953,280107
1954,140874
1955,315687
1956,140709
1957,175440
1958,1590
1959,279756
1960,37296
1961,349608
1962,36453
1963,210390
1964,246057
1965,175911
1966,36420
1967,140805
1968,210378
1969,140712
1970,106812
1971,36414
1972,71295
1973,71238
1974,140742
1975,244950
1976,176361
1977,245295
1978,106023
1979,105945
1980,1557
1981,175749
1982,211104
1983,140787
1984,140727
1985,175566
1986,106086
1987,140631
1988,106815
1989,106113
1990,140907
1991,140673
1992,105975
1993,280779
1994,105990
1995,1554
1996,245223
1997,71223
1998,140856
1999,71157
2000,106713
2001,175749
2002,1740
2003,36336
2004,140775
2005,210318
2006,71139
2007,105912
2008,72108
2009,140691
2010,140775
2011,36318
2012,244926
2013,246264
2014,71166
2015,245196
2016,175647
2017,71226
2018,36528
2019,211464
2020,105978
2021,106029
2022,71145
2023,105990
2024,105996
2025,210594
2026,176265
2027,488682
2028,36321
2029,177891
2030,140715
2031,279960
2032,315687
2033,105993
2034,140712
2035,105993
2036,210534
2037,140766
2038,141777
2039,175665
2040,140661
2041,210495
2042,175404
2043,37092
2044,175635
2045,71205
2046,71037
2047,210387
2048,175584
2049,111825
2050,71196
2051,210348
2052,175590
2053,71067
2054,71289
2055,106128
2056,246753
2057,36564
2058,210462
2059,36438
2060,280089
2061,36504
2062,72276
2063,1641
2064,175665
2065,106329
2066,36441
2067,71097
2068,105867
2069,36657
2070,280770
2071,71286
2072,105987
2073,36435
2074,106131
2075,106008
2076,36369
2077,140898
2078,105969
2079,37653
2080,106026
2081,175617
2082,105873
2083,280188
2084,71115
2085,1575
2086,142119
2087,175701
2088,71301
2089,140823
2090,280035
2091,176295
2092,36453
2093,105990
2094,71187
2095,140982
2096,210294
2097,245877
2098,210168
2099,36546
2100,1572
2101,71088
2102,105954
2103,175791
2104,37248
2105,244977
2106,175572
2107,71409
2108,175392
2109,113181
2110,106071
2111,106089
2112,36486
2113,71562
2114,1566
2115,245307
2116,71133
2117,105918
2118,281661
2119,245145
2120,105918
2121,175611
2122,37362
2123,140877
2124,175719
2125,175533
2126,105867
2127,140964
2128,141360
2129,210510
2130,279966
2131,71193
2132,141756
2133,175614
2134,175377
2135,314478
2136,105936
2137,141651
2138,140757
2139,175512
2140,245175
2141,315273
2142,175701
2143,524484
2144,141015
2145,1704
2146,1515
2147,175389
2148,36321
2149,140682
2150,1548
2151,175704
2152,281844
2153,175623
2154,140976
2155,175713
2156,106623
2157,71412
2158,36537
2159,105885
2160,210384
2161,210300
2162,106752
2163,210318
2164,71280
2165,140625
2166,175872
2167,1728
2168,71139
2169,176250
2170,175626
2171,175677
2172,71193
2173,279924
2174,210909
2175,36300
2176,175569
2177,175569
2178,106215
2179,280941
2180,140736
2181,210456
2182,105885
2183,246135
2184,175596
2185,71352
2186,210501
2187,175758
2188,489597
2189,175866
2190,175638
2191,106704
2192,384267
2193,175701
2194,140982
2195,389568
2196,36408
2197,140736
2198,106359
2199,71457
2200,142476
2201,36504
2202,245247
2203,140793
2204,279795
2205,211200
2206,1629
2207,106038
2208,105999
2209,314502
2210,280488
2211,210417
2212,106092
2213,106020
2214,1512
2215,140805
2216,176256
2217,105972
2218,141078
2219,210216
2220,1470
2221,210411
2222,106827
2223,105906
2224,36270
2225,71223
2226,210462
2227,316005
2228,175725
2229,210405
2230,1752
2231,175629
2232,105999
2233,142665
2234,36267
2235,71229
2236,1482
2237,140610
