sample,cycles
0,9900
1,9957
2,6861
3,5520
4,6138
5,5958
6,5580
7,6279
8,5247
9,8253
10,6135
11,5373
12,5745
13,5607
14,4653
15,5589
16,4587
17,1791
18,1851
19,1533
20,5700
21,5220
22,1665
23,4455
24,1623
25,5340
26,4542
27,2481
28,4392
29,1653
30,4863
31,4104
32,3483
33,3405
34,2859
35,4269
36,1470
37,1584
38,1605
39,3018
40,2403
41,3117
42,3105
43,3033
44,1512
45,1623
46,1515
47,4371
48,2205
49,1680
50,1545
51,3057
52,3651
53,1815
54,2634
55,1497
56,1515
57,2697
58,3936
59,1521
60,3543
61,1563
62,1560
63,1773
64,1467
65,1533
66,1509
67,1503
68,1509
69,1512
70,4188
71,2319
72,1545
73,2163
74,3354
75,1446
76,2241
77,1455
78,1458
79,2766
80,3369
81,1524
82,1512
83,1473
84,1527
85,1446
86,2532
87,1818
88,1587
89,1512
90,1458
91,1437
92,2991
93,3741
94,2883
95,2841
96,1518
97,1428
98,1422
99,1509
100,1488
101,1470
102,1500
103,1566
104,1458
105,1473
106,1482
107,3864
108,1521
109,3258
110,3873
111,1503
112,1545
113,1521
114,10701
115,2448
116,1539
117,1425
118,1530
119,1395
120,1461
121,1440
122,1461
123,1404
124,2427
125,1443
126,1551
127,1443
128,1866
129,1539
130,1455
131,6165
132,1413
133,1452
134,2244
135,2598
136,1428
137,1410
138,1401
139,1449
140,1413
141,1452
142,4281
143,1545
144,1509
145,1512
146,1491
147,3297
148,1515
149,1446
150,1530
151,1377
152,1455
153,3321
154,4227
155,1410
156,9804
157,3252
158,20640
159,13362
160,1437
161,5094
162,2355
163,1446
164,1506
165,1734
166,6189
167,4371
168,11574
169,8763
170,6000
171,1455
172,1416
173,8802
174,1425
175,12459
176,1494
177,5145
178,2412
179,1401
180,2505
181,8724
182,7035
183,1431
184,1473
185,1950
186,3279
187,1422
188,1503
189,7035
190,1467
191,8862
192,1464
193,1425
194,1542
195,1497
196,1647
197,14244
198,9624
199,1533
200,1422
201,1425
202,11538
203,1695
204,4257
205,1482
206,18198
207,6864
208,16929
209,11511
210,3483
211,1467
212,1551
213,1395
214,6990
215,5094
216,5115
217,16881
218,6936
219,18783
220,5139
221,8733
222,1455
223,8790
224,2409
225,1479
226,1536
227,1530
228,5148
229,1434
230,15165
231,13290
232,3264
233,1533
234,1461
235,3375
236,4224
237,1491
238,1509
239,11508
240,1431
241,1494
242,1524
243,16122
244,5115
245,2346
246,8748
247,2472
248,5139
249,5148
250,2436
251,8742
252,2406
253,1404
254,3360
255,2367
256,1467
257,3363
258,2451
259,5196
260,7791
261,4203
262,1437
263,1512
264,1398
265,1503
266,1470
267,1497
268,1404
269,1476
270,1428
271,2325
272,3276
273,5166
274,1434
275,2460
276,1461
277,1392
278,1434
279,1428
280,24321
281,14202
282,1512
283,22518
284,1485
285,4215
286,9684
287,1425
288,3321
289,2364
290,1407
291,1482
292,3249
293,5124
294,1593
295,1533
296,1428
297,1452
298,9669
299,1539
300,3384
301,1455
302,14256
303,5994
304,6927
305,1410
306,3363
307,1386
308,1560
309,1446
310,1395
311,1413
312,1476
313,7950
314,1422
315,1404
316,6975
317,1389
318,1536
319,5145
320,6048
321,7824
322,4167
323,1440
324,1386
325,2505
326,1404
327,1407
328,11469
329,20589
330,3294
331,1446
332,3351
333,1506
334,4254
335,1401
336,17826
337,4242
338,6036
339,1389
340,1638
341,1464
342,4236
343,7782
344,4233
345,1500
346,1512
347,1395
348,1485
349,1470
350,10617
351,4158
352,1479
353,2427
354,12450
355,1446
356,1422
357,1425
358,8766
359,1512
360,1419
361,8832
362,12945
363,1566
364,1524
365,2511
366,12750
367,1467
368,3351
369,1470
370,1515
371,1467
372,1584
373,2628
374,8175
375,3330
376,4419
377,1611
378,13557
379,6300
380,11667
381,1662
382,2685
383,18045
384,1701
385,9132
386,12711
387,1659
388,7227
389,1623
390,1584
391,3582
392,1572
393,1626
394,22644
395,1686
396,6204
397,7074
398,2526
399,4278
400,12570
401,7071
402,1518
403,1584
404,1563
405,1590
406,1668
407,5271
408,1629
409,1542
410,6222
411,8841
412,4260
413,4206
414,1557
415,10698
416,6039
417,5958
418,1455
419,6117
420,5163
421,1515
422,7047
423,1641
424,2457
425,15180
426,3303
427,1500
428,6147
429,5157
430,2430
431,2322
432,4311
433,6933
434,1464
435,1416
436,12492
437,1422
438,8802
439,11454
440,6072
441,2349
442,7038
443,12432
444,4245
445,3336
446,6954
447,5070
448,6045
449,3333
450,6045
451,7890
452,3345
453,10620
454,1398
455,11514
456,1446
457,9777
458,20619
459,2442
460,1434
461,7083
462,9654
463,5217
464,1431
465,1389
466,1485
467,5205
468,7878
469,8814
470,5160
471,6018
472,4239
473,9624
474,2358
475,6090
476,5190
477,6936
478,5055
479,16005
480,2331
481,4233
482,9699
483,8802
484,12447
485,11526
486,7899
487,4248
488,3267
489,12396
490,10719
491,12483
492,2406
493,11619
494,16941
495,4251
496,4203
497,6087
498,5979
499,1503
500,7008
501,4251
502,5157
503,7755
504,3291
505,4188
506,8778
507,3285
508,8865
509,10548
510,5064
511,5997
512,1464
513,4218
514,16104
515,5286
516,1392
517,4248
518,5124
519,3357
520,3312
521,4263
522,6042
523,6966
524,6885
525,16893
526,7848
527,1467
528,7941
529,7854
530,6960
531,7932
532,4347
533,3375
534,7815
535,6969
536,6030
537,1473
538,7911
539,6036
540,5184
541,2424
542,11460
543,3318
544,2445
545,7830
546,1512
547,2466
548,1431
549,5193
550,1470
551,4284
552,6870
553,4254
554,5064
555,6924
556,7023
557,4215
558,4206
559,5103
560,3261
561,4200
562,5937
563,5103
564,6003
565,1431
566,1479
567,2463
568,9678
569,6858
570,7050
571,2403
572,1443
573,1431
574,1554
575,8724
576,1455
577,6990
578,3324
579,5139
580,1389
581,3375
582,3246
583,1458
584,5196
585,5181
586,5058
587,3330
588,2382
589,1476
590,1422
591,14394
592,9678
593,2397
594,8850
595,5073
596,4209
597,8748
598,2367
599,1443
600,9696
601,9705
602,1497
603,4293
604,4278
605,3279
606,2394
607,4233
608,1437
609,2412
610,7902
611,1464
612,4272
613,1467
614,6048
615,1500
616,1392
617,8865
618,5028
619,9708
620,5937
621,3282
622,1446
623,14226
624,10515
625,2418
626,1452
627,2427
628,7995
629,8799
630,4212
631,1407
632,3357
633,1425
634,2364
635,1386
636,2406
637,2382
638,1440
639,4119
640,6990
641,1467
642,3384
643,1443
644,1437
645,5163
646,6078
647,2379
648,14226
649,6939
650,2421
651,11535
652,10530
653,5181
654,5967
655,2394
656,3306
657,1422
658,10632
659,1407
660,1461
661,11607
662,15171
663,6003
664,3300
665,5073
666,7833
667,6867
668,7761
669,2415
670,5115
671,10590
672,13365
673,3315
674,6084
675,1500
676,6018
677,3321
678,11469
679,8859
680,3279
681,2370
682,3348
683,3318
684,2391
685,1473
686,1416
687,1497
688,3345
689,7866
690,10515
691,2403
692,10644
693,4242
694,4182
695,3270
696,8838
697,2388
698,8778
699,3279
700,4227
701,6066
702,6939
703,11481
704,2412
705,2388
706,1491
707,2460
708,11508
709,3327
710,1419
711,4203
712,4176
713,5175
714,5088
715,14265
716,5109
717,7008
718,4272
719,12435
720,2391
721,1452
722,1515
723,4281
724,1512
725,3339
726,6087
727,4104
728,1434
729,1434
730,3324
731,10506
732,2388
733,1440
734,1434
735,4254
736,1452
737,2445
738,15057
739,4248
740,2394
741,7875
742,3264
743,1443
744,15159
745,2439
746,8793
747,7821
748,6009
749,3321
750,4254
751,8757
752,11433
753,2397
754,2409
755,3285
756,1518
757,4194
758,1431
759,20580
760,4164
761,9645
762,1434
763,10653
764,1416
765,4248
766,1470
767,3282
768,6009
769,16890
770,5994
771,7872
772,1422
773,6066
774,4188
775,9738
776,7887
777,2424
778,1524
779,5238
780,8832
781,1554
782,6090
783,2412
784,1434
785,9582
786,3327
787,4245
788,7848
789,8823
790,2475
791,5037
792,6990
793,9630
794,7851
795,8814
796,4233
797,6972
798,2499
799,4275
800,2409
801,6861
802,4158
803,6093
804,6015
805,6954
806,5994
807,1548
808,5160
809,3273
810,5148
811,2418
812,4200
813,16191
814,6993
815,6918
816,3255
817,2346
818,1548
819,6006
820,4287
821,1404
822,4257
823,5142
824,2382
825,11535
826,6000
827,14385
828,8841
829,5190
830,11538
831,4215
832,8772
833,5961
834,6084
835,3288
836,2397
837,7059
838,2316
839,5952
840,1419
841,4266
842,5094
843,6087
844,4182
845,3285
846,8811
847,6966
848,4248
849,2373
850,1551
851,3315
852,4218
853,8694
854,5991
855,4188
856,6945
857,1443
858,3387
859,5148
860,8733
861,5988
862,4209
863,3285
864,3285
865,9612
866,7803
867,5982
868,8880
869,8868
870,1533
871,4191
872,7818
873,6996
874,1428
875,7902
876,10599
877,4254
878,4224
879,2364
880,3300
881,3345
882,9774
883,2382
884,7911
885,6900
886,7920
887,11433
888,5079
889,9645
890,2388
891,5151
892,2436
893,9660
894,3330
895,6060
896,8703
897,4179
898,1632
899,7134
900,9795
901,5157
902,8709
903,11466
904,5124
905,6915
906,6900
907,5160
908,5994
909,7062
910,2382
911,6012
912,3261
913,6075
914,1509
915,6090
916,4281
917,1434
918,9636
919,6924
920,8874
921,1413
922,5166
923,1425
924,4299
925,2454
926,9606
927,3285
928,8814
929,8751
930,5115
931,2478
932,2409
933,8742
934,4212
935,4170
936,3270
937,6948
938,1461
939,5139
940,5979
941,2394
942,9702
943,3339
944,1452
945,10659
946,11451
947,1425
948,4284
949,7854
950,2466
951,1404
952,1443
953,1452
954,7869
955,3405
956,2415
957,1434
958,2463
959,5100
960,7845
961,4206
962,6912
963,2385
964,1434
965,12477
966,4269
967,6063
968,2355
969,3282
970,2352
971,3378
972,3231
973,1518
974,4308
975,3339
976,4227
977,6060
978,7896
979,4230
980,1491
981,7809
982,6075
983,3273
984,6924
985,2391
986,4236
987,1401
988,2511
989,3258
990,12357
991,1416
992,5196
993,10581
994,2406
995,5091
996,8682
997,3324
998,1449
999,5196
1000,3309
1001,14214
1002,3327
1003,1494
1004,5199
1005,1470
1006,1455
1007,4338
1008,3288
1009,3330
1010,7956
1011,2382
1012,5157
1013,1425
1014,5208
1015,1431
1016,3354
1017,6072
1018,6015
1019,3306
1020,2394
1021,6948
1022,1443
1023,7890
1024,1455
1025,7929
1026,4173
1027,1551
1028,2412
1029,1470
1030,6027
1031,6945
1032,4212
1033,3336
1034,3321
1035,1437
1036,3333
1037,7788
1038,4161
1039,5127
1040,8724
1041,7842
1042,2430
1043,3366
1044,1428
1045,1425
1046,3375
1047,3321
1048,1467
1049,5106
1050,4164
1051,2523
1052,1482
1053,3342
1054,4218
1055,6063
1056,1452
1057,3366
1058,7032
1059,2538
1060,5943
1061,6918
1062,3294
1063,4215
1064,3345
1065,5223
1066,4293
1067,2511
1068,2412
1069,7032
1070,2391
1071,6057
1072,5091
1073,4179
1074,5934
1075,7065
1076,1479
1077,1398
1078,2472
1079,6018
1080,7902
1081,1458
1082,1446
1083,2433
1084,3318
1085,5982
1086,3324
1087,6033
1088,6048
1089,6036
1090,3390
1091,7917
1092,2364
1093,1602
1094,15120
1095,6996
1096,6987
1097,1494
1098,1431
1099,2439
1100,3348
1101,4266
1102,7803
1103,6048
1104,6033
1105,3336
1106,5133
1107,1419
1108,4281
1109,3282
1110,6921
1111,1440
1112,5196
1113,1422
1114,6903
1115,4170
1116,5967
1117,5115
1118,6900
1119,4170
1120,5967
1121,5136
1122,2373
1123,1452
1124,4212
1125,2433
1126,1512
1127,1512
1128,3339
1129,3381
1130,9672
1131,11466
1132,8748
1133,8868
1134,2331
1135,1497
1136,2409
1137,6009
1138,4230
1139,4239
1140,4296
1141,11484
1142,9786
1143,6960
1144,7878
1145,1473
1146,2436
1147,1374
1148,3384
1149,6054
1150,9798
1151,1419
1152,6015
1153,8829
1154,2445
1155,5142
1156,8682
1157,5115
1158,2355
1159,4242
1160,5976
1161,5088
1162,7767
1163,3288
1164,1395
1165,6042
1166,5103
1167,8736
1168,1413
1169,2454
1170,6999
1171,10611
1172,4215
1173,9594
1174,7893
1175,7794
1176,3330
1177,12309
1178,6090
1179,6948
1180,1518
1181,1413
1182,1449
1183,4257
1184,2361
1185,4257
1186,10596
1187,5151
1188,6981
1189,7851
1190,5970
1191,9558
1192,7830
1193,5136
1194,5997
1195,5187
1196,1419
1197,4314
1198,3375
1199,7899
1200,3360
1201,5160
1202,4260
1203,10659
1204,7995
1205,5190
1206,16959
1207,6882
1208,3396
1209,6960
1210,7020
1211,1461
1212,3387
1213,11460
1214,8787
1215,12402
1216,5091
1217,2352
1218,6162
1219,6072
1220,4170
1221,6039
1222,4152
1223,2442
1224,3270
1225,3360
1226,9708
1227,7854
1228,7911
1229,7917
1230,9609
1231,5103
1232,4212
1233,6075
1234,4266
1235,2370
1236,6966
1237,3294
1238,5160
1239,3270
1240,4155
1241,2337
1242,7035
1243,4194
1244,5154
1245,6069
1246,13263
1247,2364
1248,4260
1249,5118
1250,4257
1251,6987
1252,1470
1253,5238
1254,5088
1255,5088
1256,4209
1257,6957
1258,8781
1259,4257
1260,10569
1261,5142
1262,3291
1263,9675
1264,2367
1265,6147
1266,5190
1267,4191
1268,15198
1269,3357
1270,9768
1271,3294
1272,7833
1273,2385
1274,5052
1275,3276
1276,4239
1277,16086
1278,2391
1279,3276
1280,6927
1281,5070
1282,8784
1283,7905
1284,1473
1285,1521
1286,4224
1287,6087
1288,7848
1289,2466
1290,2358
1291,7902
1292,5139
1293,3423
1294,7836
1295,2343
1296,1368
1297,9762
1298,7830
1299,5988
1300,4278
1301,3342
1302,1521
1303,5100
1304,1407
1305,5187
1306,2400
1307,5979
1308,5106
1309,6993
1310,4194
1311,1443
1312,5145
1313,6009
1314,3288
1315,5109
1316,6075
1317,4236
1318,1458
1319,5136
1320,11460
1321,1506
1322,6069
1323,10575
1324,6957
1325,8793
1326,8832
1327,1398
1328,7878
1329,10590
1330,5118
1331,3267
1332,3333
1333,6936
1334,5082
1335,3393
1336,4251
1337,1449
1338,6105
1339,3297
1340,7920
1341,1407
1342,4269
1343,2367
1344,11460
1345,11490
1346,6081
1347,4224
1348,9699
1349,4281
1350,7797
1351,5139
1352,2379
1353,6045
1354,4224
1355,2394
1356,9693
1357,3297
1358,2400
1359,2391
1360,6903
1361,12408
1362,3321
1363,3330
1364,12399
1365,5958
1366,4230
1367,8706
1368,3321
1369,5100
1370,2433
1371,7803
1372,2433
1373,1443
1374,4290
1375,8715
1376,5118
1377,4197
1378,4182
1379,7941
1380,10569
1381,5157
1382,1416
1383,4284
1384,2388
1385,3273
1386,10542
1387,7917
1388,4197
1389,1560
1390,3303
1391,4167
1392,4221
1393,2373
1394,5217
1395,5109
1396,4251
1397,3288
1398,1518
1399,2421
1400,7821
1401,10617
1402,4203
1403,7902
1404,6918
1405,5142
1406,2409
1407,4257
1408,2334
1409,9651
1410,7851
1411,1476
1412,4263
1413,3327
1414,3330
1415,3378
1416,4194
1417,1443
1418,5127
1419,3324
1420,6066
1421,3342
1422,2430
1423,4272
1424,2364
1425,7080
1426,2349
1427,6942
1428,7896
1429,13257
1430,1479
1431,7827
1432,3255
1433,2361
1434,2433
1435,4290
1436,2400
1437,1437
1438,9750
1439,1398
1440,5154
1441,1401
1442,5103
1443,6045
1444,8787
1445,7878
1446,6843
1447,6999
1448,4242
1449,4263
1450,4230
1451,4263
1452,5100
1453,3351
1454,6054
1455,4173
1456,2394
1457,5097
1458,6000
1459,8811
1460,4293
1461,2388
1462,4221
1463,6921
1464,1437
1465,2406
1466,4248
1467,8691
1468,4269
1469,11553
1470,4221
1471,9534
1472,5178
1473,3279
1474,4266
1475,2502
1476,6888
1477,5154
1478,8682
1479,2523
1480,3288
1481,6054
1482,5148
1483,6951
1484,6030
1485,4248
1486,1446
1487,5157
1488,10566
1489,3279
1490,6081
1491,3276
1492,7932
1493,3327
1494,1443
1495,6969
1496,6915
1497,8766
1498,2487
1499,7902
1500,6057
1501,7803
1502,9675
1503,4227
1504,4146
1505,3264
1506,2385
1507,9753
1508,7821
1509,3315
1510,8865
1511,7902
1512,7770
1513,3381
1514,5142
1515,4176
1516,3333
1517,6099
1518,1452
1519,6000
1520,4221
1521,4134
1522,3315
1523,6891
1524,3333
1525,1467
1526,2514
1527,9612
1528,8784
1529,2397
1530,4200
1531,7887
1532,4200
1533,2430
1534,2394
1535,2367
1536,6087
1537,5076
1538,2379
1539,5121
1540,4125
1541,5976
1542,2409
1543,5133
1544,4176
1545,7908
1546,3270
1547,4188
1548,3315
1549,4248
1550,2382
1551,1446
1552,5145
1553,10497
1554,1470
1555,1407
1556,6084
1557,2355
1558,5091
1559,5985
1560,4215
1561,6978
1562,3300
1563,3369
1564,9663
1565,7815
1566,6051
1567,7857
1568,2370
1569,6009
1570,2415
1571,5130
1572,2355
1573,5157
1574,1464
1575,5193
1576,3297
1577,6915
1578,2367
1579,5118
1580,5961
1581,3336
1582,10653
1583,6045
1584,13377
1585,2520
1586,1491
1587,7884
1588,2430
1589,6048
1590,6897
1591,2373
1592,5166
1593,5115
1594,4185
1595,4251
1596,2352
1597,5127
1598,6054
1599,3261
1600,1449
1601,4263
1602,11514
1603,4188
1604,9714
1605,3390
1606,5997
1607,4197
1608,7827
1609,9717
1610,10398
1611,2430
1612,8745
1613,6999
1614,2334
1615,5121
1616,7773
1617,6003
1618,6906
1619,4236
1620,4245
1621,7905
1622,6063
1623,4242
1624,8802
1625,4215
1626,5166
1627,4173
1628,3294
1629,4284
1630,6930
1631,3327
1632,4206
1633,2385
1634,2388
1635,3378
1636,10605
1637,8697
1638,2364
1639,8748
1640,1437
1641,7917
1642,3291
1643,1464
1644,4266
1645,5166
1646,5124
1647,5184
1648,2373
1649,5142
1650,1533
1651,6018
1652,4209
1653,6915
1654,8772
1655,4176
1656,6987
1657,3249
1658,6903
1659,2346
1660,3252
1661,4158
1662,2421
1663,4218
1664,6954
1665,6966
1666,6912
1667,7875
1668,4197
1669,5157
1670,2433
1671,1494
1672,5166
1673,12405
1674,3297
1675,4215
1676,4188
1677,7872
1678,1419
1679,4281
1680,6066
1681,5160
1682,2412
1683,7893
1684,3363
1685,4185
1686,6087
1687,6879
1688,5016
1689,7818
1690,4212
1691,2388
1692,3300
1693,9708
1694,9606
1695,5097
1696,2382
1697,4245
1698,5949
1699,3300
1700,5970
1701,7875
1702,6030
1703,8700
1704,5073
1705,5157
1706,4221
1707,6036
1708,1425
1709,3384
1710,6987
1711,4272
1712,3333
1713,6087
1714,2370
1715,2412
1716,9747
1717,1395
1718,3387
1719,3327
1720,5949
1721,4176
1722,5175
1723,5160
1724,5127
1725,3348
1726,4278
1727,3288
1728,7023
1729,7812
1730,6867
1731,2436
1732,2340
1733,5997
1734,6930
1735,3312
1736,5100
1737,3294
1738,3279
1739,4236
1740,5115
1741,5979
1742,5118
1743,1479
1744,9651
1745,6012
1746,5199
1747,4215
1748,10695
1749,9636
1750,4221
1751,7140
1752,4221
1753,11412
1754,5211
1755,6960
1756,5151
1757,5106
1758,4230
1759,5946
1760,1482
1761,4269
1762,3282
1763,8856
1764,5190
1765,6105
1766,5151
1767,11487
1768,8772
1769,5142
1770,6942
1771,3309
1772,5970
1773,4308
1774,5199
1775,3288
1776,6999
1777,4266
1778,3255
1779,3297
1780,4230
1781,3318
1782,1464
1783,4251
1784,2409
1785,3357
1786,1434
1787,8790
1788,4233
1789,8700
1790,2442
1791,3234
1792,5175
1793,6033
1794,7797
1795,7845
1796,6876
1797,6894
1798,6018
1799,1431
1800,3345
1801,7017
1802,5157
1803,1446
1804,6999
1805,3297
1806,12327
1807,11523
1808,6966
1809,5094
1810,3306
1811,4206
1812,15096
1813,8712
1814,5214
1815,3192
1816,6027
1817,13278
1818,2388
1819,2409
1820,5103
1821,3282
1822,6057
1823,2313
1824,5199
1825,6930
1826,3423
1827,6081
1828,4206
1829,5226
1830,8694
1831,4149
1832,4239
1833,4209
1834,6918
1835,1470
1836,5187
1837,4215
1838,6921
1839,3345
1840,1422
1841,5202
1842,5169
1843,1452
1844,2505
1845,4221
1846,4209
1847,4170
1848,2376
1849,2412
1850,1437
1851,1491
1852,5172
1853,2385
1854,5124
1855,7857
1856,5157
1857,6015
1858,4212
1859,3339
1860,1434
1861,3363
1862,7878
1863,4221
1864,6948
1865,4284
1866,1449
1867,1491
1868,3351
1869,4224
1870,6075
1871,4194
1872,6906
1873,3309
1874,6060
1875,4191
1876,7857
1877,3378
1878,4215
1879,2319
1880,3306
1881,9609
1882,2391
1883,3312
1884,5985
1885,2424
1886,7800
1887,2331
1888,11460
1889,6075
1890,4260
1891,13362
1892,2367
1893,3318
1894,9750
1895,5124
1896,5091
1897,2364
1898,8724
1899,3303
1900,4227
1901,2430
1902,1470
1903,5145
1904,3348
1905,6870
1906,2367
1907,6003
1908,4221
1909,3318
1910,6000
1911,3276
1912,8847
1913,5088
1914,11490
1915,4179
1916,6039
1917,2358
1918,4200
1919,7785
1920,12471
1921,7833
1922,5169
1923,2421
1924,6849
1925,5172
1926,2409
1927,3228
1928,5067
1929,6096
1930,1416
1931,6015
1932,5052
1933,6963
1934,2406
1935,3336
1936,6018
1937,3318
1938,9612
1939,2385
1940,6057
1941,4239
1942,5103
1943,6861
1944,4158
1945,4176
1946,6978
1947,2349
1948,4269
1949,1431
1950,7002
1951,7797
1952,10614
1953,4203
1954,7809
1955,3336
1956,4200
1957,2442
1958,9636
1959,2391
1960,7851
1961,6030
1962,5088
1963,5097
1964,7914
1965,3378
1966,6909
1967,7881
1968,6978
1969,6948
1970,5262
1971,1419
1972,7953
1973,4230
1974,4239
1975,10614
1976,5172
1977,5139
1978,8658
1979,5097
1980,7860
1981,3294
1982,7908
1983,6951
1984,2499
1985,7851
1986,1464
1987,4302
1988,8796
1989,7875
1990,1461
1991,4278
1992,3351
1993,4257
1994,3237
1995,6948
1996,5931
1997,1629
1998,3342
1999,12378
2000,6945
2001,7914
2002,3300
2003,4212
2004,5178
2005,5151
2006,6069
2007,5112
2008,6000
2009,3288
2010,5088
2011,5100
2012,4251
2013,1392
2014,5166
2015,4149
2016,7884
2017,4167
2018,4197
2019,5142
2020,3264
2021,6999
2022,2322
2023,4293
2024,5091
2025,9681
2026,6918
2027,4179
2028,5136
2029,5142
2030,7134
2031,1572
2032,7032
2033,5136
2034,2445
2035,8808
2036,2436
2037,5100
2038,2460
