sample,cycles
0,9540
1,10200
2,6774
3,5373
4,5583
5,5769
6,5100
7,4011
8,6405
9,3288
10,5922
11,4620
12,5592
13,5004
14,1683
15,4848
16,4803
17,2901
18,5319
19,4023
20,4626
21,2205
22,2475
23,1596
24,2232
25,1581
26,1788
27,5286
28,2202
29,2172
30,4419
31,4737
32,1578
33,1641
34,1563
35,1677
36,1587
37,2952
38,1566
39,1593
40,1734
41,4629
42,3498
43,1620
44,1596
45,1536
46,4590
47,2235
48,2736
49,1587
50,1848
51,1509
52,1584
53,1533
54,1545
55,1521
56,1962
57,1614
58,1506
59,1485
60,1572
61,1818
62,1650
63,1464
64,3183
65,1920
66,1884
67,2256
68,1467
69,1437
70,3180
71,1623
72,1527
73,1476
74,1464
75,1611
76,1518
77,1473
78,1473
79,1521
80,1446
81,1542
82,1542
83,2061
84,2634
85,4119
86,1521
87,1443
88,1578
89,1458
90,1521
91,1449
92,2634
93,1449
94,1482
95,1470
96,1479
97,15690
98,3402
99,4257
100,9948
101,1509
102,1488
103,1575
104,1491
105,1512
106,2067
107,1581
108,1425
109,1500
110,1476
111,1614
112,1458
113,1515
114,2271
115,3015
116,2121
117,4497
118,13677
119,8115
120,16242
121,8004
122,1539
123,1500
124,1524
125,1467
126,1626
127,3228
128,8937
129,1686
130,2250
131,4746
132,9270
133,2466
134,3390
135,4317
136,5217
137,1545
138,1488
139,1584
140,11148
141,5676
142,1623
143,14577
144,5334
145,4785
146,1500
147,1482
148,1548
149,6513
150,2013
151,1449
152,12234
153,9105
154,8172
155,1413
156,1458
157,4965
158,6099
159,13689
160,6372
161,9930
162,1524
163,9054
164,17712
165,7992
166,7656
167,2103
168,9984
169,6441
170,3714
171,2718
172,5496
173,1575
174,1638
175,1431
176,2502
177,9129
178,9405
179,1635
180,9255
181,14346
182,2481
183,10122
184,6639
185,1581
186,4803
187,6291
188,5310
189,1461
190,14652
191,1593
192,1572
193,2760
194,2535
195,13116
196,1437
197,12288
198,7077
199,11004
200,1473
201,1524
202,3558
203,3423
204,2724
205,8172
206,1506
207,2589
208,4470
209,3093
210,6468
211,3801
212,1479
213,5331
214,5319
215,1770
216,1458
217,11136
218,5739
219,1854
220,8214
221,14187
222,1725
223,1719
224,1467
225,4395
226,1512
227,2493
228,1452
229,8574
230,6372
231,2544
232,14631
233,2577
234,6120
235,2427
236,6228
237,4578
238,1455
239,6504
240,2592
241,7719
242,6825
243,3552
244,5226
245,2526
246,1557
247,1458
248,3600
249,12624
250,6120
251,5265
252,5568
253,2598
254,7161
255,5208
256,2358
257,1494
258,1461
259,8397
260,6633
261,8088
262,2463
263,4497
264,1389
265,2442
266,1425
267,2640
268,14850
269,10905
270,4575
271,4638
272,2751
273,2274
274,3981
275,1431
276,6234
277,1863
278,4221
279,3489
280,9162
281,4290
282,10227
283,17565
284,4389
285,14799
286,8454
287,18354
288,1497
289,1470
290,3621
291,3750
292,11076
293,13782
294,3393
295,4761
296,8382
297,3648
298,2775
299,16716
300,5658
301,3624
302,8595
303,1806
304,16656
305,12075
306,6507
307,1509
308,1701
309,4530
310,5235
311,2859
312,3684
313,1647
314,10434
315,16818
316,6318
317,4341
318,1524
319,12834
320,15081
321,4200
322,4575
323,3516
324,9936
325,5571
326,1611
327,2943
328,6279
329,4704
330,8346
331,1719
332,4719
333,10785
334,11247
335,1950
336,4113
337,3750
338,6492
339,8175
340,1500
341,6033
342,6225
343,7290
344,2586
345,7131
346,7260
347,1713
348,5745
349,10299
350,3687
351,7131
352,1785
353,2568
354,8796
355,2883
356,11070
357,13047
358,8151
359,2733
360,3543
361,1713
362,1641
363,1713
364,3819
365,9486
366,6156
367,9237
368,1473
369,1728
370,2535
371,7128
372,2766
373,5742
374,3759
375,13650
376,6870
377,2856
378,1578
379,7248
380,1467
381,2466
382,1500
383,3801
384,1557
385,8253
386,3459
387,2670
388,10905
389,7182
390,4302
391,8628
392,1515
393,12912
394,3681
395,10008
396,3843
397,4419
398,9237
399,3702
400,3381
401,4488
402,4233
403,3585
404,5115
405,5475
406,2421
407,14196
408,1752
409,9975
410,7419
411,5256
412,7485
413,4347
414,8283
415,6480
416,7188
417,1488
418,10362
419,7239
420,7023
421,5370
422,4503
423,5049
424,2754
425,7308
426,6063
427,3633
428,3666
429,13137
430,6249
431,3753
432,3834
433,7245
434,14259
435,2460
436,9033
437,1557
438,6276
439,6501
440,3567
441,10683
442,2694
443,6234
444,8775
445,2655
446,4677
447,2679
448,1923
449,5568
450,13749
451,2520
452,1695
453,5226
454,10002
455,3540
456,8013
457,1557
458,5688
459,7485
460,3507
461,5574
462,1428
463,14751
464,10974
465,1656
466,1539
467,4857
468,3474
469,6933
470,2808
471,7440
472,3900
473,3489
474,8229
475,1440
476,5403
477,12156
478,1539
479,1482
480,2883
481,2511
482,2955
483,9801
484,3342
485,1545
486,2592
487,8340
488,9621
489,7374
490,2430
491,7758
492,11922
493,8118
494,1500
495,1458
496,1452
497,4533
498,2193
499,3444
500,6444
501,8286
502,2703
503,1473
504,16470
505,7686
506,1851
507,6285
508,2526
509,5718
510,1593
511,8082
512,3426
513,4566
514,3711
515,5739
516,5694
517,4785
518,10056
519,8196
520,17418
521,5808
522,11880
523,4977
524,5271
525,3432
526,6840
527,2541
528,5694
529,4113
530,2841
531,8316
532,4449
533,8346
534,5271
535,3462
536,3417
537,2745
538,2679
539,2865
540,7428
541,5589
542,5445
543,7173
544,3873
545,7239
546,1587
547,2724
548,11145
549,5814
550,6453
551,2658
552,14088
553,6477
554,4680
555,5292
556,9969
557,2733
558,2559
559,5985
560,4665
561,3435
562,6432
563,6735
564,2733
565,6396
566,2541
567,1455
568,3738
569,4344
570,5550
571,2499
572,2604
573,2637
574,1677
575,4575
576,7551
577,4044
578,1587
579,5604
580,9102
581,2508
582,9075
583,2643
584,5562
585,2550
586,6174
587,16581
588,9654
589,5508
590,1449
591,1695
592,6261
593,1566
594,3534
595,6180
596,8013
597,7119
598,3630
599,4749
600,5418
601,1533
602,15954
603,2454
604,4356
605,8280
606,2739
607,4554
608,3822
609,8448
610,4542
611,6495
612,9084
613,5457
614,4572
615,10152
616,7335
617,2700
618,8172
619,10005
620,10110
621,3408
622,12126
623,2574
624,10224
625,3495
626,4557
627,6294
628,12003
629,7626
630,1716
631,5661
632,7326
633,3618
634,5427
635,8298
636,3228
637,7365
638,3468
639,4395
640,3507
641,10218
642,2568
643,5307
644,4455
645,6492
646,14655
647,4311
648,5532
649,2898
650,5577
651,8061
652,2715
653,4437
654,12150
655,5574
656,18690
657,12456
658,7290
659,5484
660,6294
661,3813
662,9711
663,5583
664,6273
665,4485
666,7281
667,4443
668,5310
669,6537
670,3699
671,7404
672,4938
673,1590
674,2604
675,4455
676,3636
677,5733
678,5466
679,5574
680,2688
681,1635
682,5286
683,4107
684,7317
685,10377
686,5631
687,8055
688,3534
689,5442
690,5334
691,6480
692,7455
693,1716
694,2547
695,6702
696,4434
697,4557
698,3477
699,11148
700,1437
701,2700
702,7923
703,2586
704,11235
705,14121
706,3735
707,2745
708,3408
709,1575
710,8295
711,5520
712,2652
713,3591
714,3564
715,9087
716,6369
717,13758
718,3399
719,4503
720,7365
721,6267
722,4479
723,3567
724,3708
725,12561
726,4668
727,15138
728,3912
729,9099
730,11076
731,6309
732,2970
733,4479
734,1488
735,9036
736,8637
737,2658
738,4743
739,1494
740,4368
741,4551
742,2484
743,3816
744,3153
745,4380
746,8475
747,10098
748,3408
749,11004
750,8334
751,1680
752,3786
753,5247
754,4416
755,1467
756,3825
757,4620
758,2091
759,6375
760,7281
761,4425
762,5850
763,2652
764,6375
765,2547
766,9039
767,4686
768,8511
769,3477
770,2604
771,6324
772,2757
773,9369
774,7413
775,1974
776,2679
777,6666
778,7347
779,7602
780,7404
781,8196
782,1551
783,6486
784,2604
785,3609
786,1626
787,2772
788,6516
789,5328
790,5985
791,6693
792,3444
793,2481
794,5376
795,3483
796,8142
797,11184
798,1704
799,5703
800,1620
801,8154
802,6198
803,6459
804,11979
805,8562
806,2478
807,5391
808,9210
809,5706
810,3651
811,6576
812,6570
813,2820
814,6204
815,3483
816,4380
817,9864
818,3426
819,3603
820,6300
821,4707
822,1980
823,3633
824,9027
825,2595
826,10308
827,1626
828,2868
829,2667
830,1479
831,4917
832,5436
833,18507
834,1878
835,5499
836,1542
837,1659
838,3645
839,1824
840,2583
841,7188
842,5316
843,5199
844,6486
845,5583
846,8244
847,10884
848,3867
849,13428
850,6246
851,4416
852,3549
853,4452
854,4602
855,3438
856,1875
857,11163
858,6489
859,3891
860,3624
861,7299
862,6462
863,2832
864,5574
865,5331
866,3354
867,4395
868,6273
869,2583
870,7296
871,1566
872,6387
873,5514
874,5277
875,8454
876,4506
877,8211
878,8628
879,1728
880,2496
881,11328
882,3405
883,9609
884,3981
885,7080
886,5391
887,2547
888,12117
889,2607
890,3576
891,5304
892,1485
893,7683
894,1458
895,6180
896,8487
897,1653
898,3429
899,9153
900,5349
901,4599
902,5730
903,7401
904,9078
905,7515
906,3858
907,2670
908,8355
909,3657
910,4329
911,3444
912,4521
913,12810
914,9387
915,9375
916,2826
917,4761
918,6456
919,2598
920,6399
921,5472
922,12912
923,8172
924,2955
925,4698
926,2568
927,3483
928,4695
929,8343
930,4281
931,4449
932,6552
933,3774
934,6480
935,7311
936,3582
937,6237
938,10419
939,9225
940,5670
941,9477
942,2748
943,1557
944,3483
945,12915
946,9087
947,3726
948,1581
949,7263
950,4962
951,7374
952,6642
953,5388
954,1617
955,10137
956,10224
957,3666
958,4533
959,9183
960,2631
961,2544
962,2739
963,6318
964,6315
965,4647
966,4671
967,5628
968,3786
969,7389
970,8256
971,8322
972,9081
973,8274
974,9333
975,4509
976,4350
977,2688
978,2568
979,2544
980,5343
981,3504
982,8121
983,10071
984,2625
985,4587
986,6312
987,4635
988,5601
989,1545
990,5883
991,5493
992,3540
993,6264
994,1554
995,2550
996,4692
997,5382
998,3612
999,6414
