src_ip,dst_ip,src_port,dst_port,num_packets,iat_min,iat_max,iat_mean,pkt_size_min,pkt_size_max,pkt_size_mean,total_bytes,syn_count,rst_count,fin_count
162.215.228.211,150.121.8.6,873,35828,2219,1.9073486328125e-06,0.012989997863769531,0.0005764648439219881,66,66,66,146454,0,0,0
150.121.88.156,184.152.70.19,63722,80,4809,9.5367431640625e-07,0.018115997314453125,0.00026377619007066165,66,94,67.47223955084218,324474,0,0,0
60.123.255.90,131.80.208.203,52082,2234,290,1.9073486328125e-06,0.4764401912689209,0.004434418925777026,66,66,66,19140,0,0,0
74.228.67.3,131.81.82.21,443,61790,9181,1.9073486328125e-06,0.05868697166442871,0.00013596546675904384,54,54,54,495774,0,0,0
150.121.89.184,180.92.47.105,49339,443,7985,0.0,0.08153700828552246,0.00013003168340197546,54,90,79.5103318722605,634890,0,0,0
103.149.197.51,203.77.107.137,42424,80,22,0.024080991744995117,0.12557697296142578,0.05832781110491071,66,66,66,1452,0,0,0
126.157.1.206,130.194.199.28,54962,443,1324,9.5367431640625e-07,0.010921001434326172,0.0009684481588350672,54,74,55.235649546827794,73132,0,0,0
151.138.184.116,130.194.250.160,80,60317,301,2.1457672119140625e-06,0.2233898639678955,0.003848713239034017,66,66,66,19866,0,0,0
203.77.107.137,84.78.59.201,80,47430,507,1.9073486328125e-06,0.17792916297912598,0.0024997311618488297,66,66,66,33462,0,0,0
138.126.168.29,150.121.13.164,8889,57346,85,3.814697265625e-06,0.45012617111206055,0.015152596292041597,66,66,66,5610,0,0,0
89.43.81.170,150.121.9.228,42565,18754,1,0,0,0,58,58,58,58,1,0,0
138.253.153.95,150.121.48.218,40955,8899,1,0,0,0,58,58,58,58,1,0,0
103.232.75.232,150.121.183.167,443,45630,6,0.0004050731658935547,0.08073306083679199,0.03672943115234375,54,54,54,324,0,1,0
203.199.81.18,203.77.29.163,59296,8728,1,0,0,0,54,54,54,54,1,0,0
103.170.253.156,150.121.8.6,49973,443,27,3.0040740966796875e-05,0.11455798149108887,0.04659119019141564,54,74,61.25925925925926,1654,0,0,0
5.178.46.249,163.226.91.92,65326,23,1,0,0,0,54,54,54,54,1,0,0
202.253.128.161,150.121.90.73,8029,61769,148,2.002716064453125e-05,0.03316617012023926,0.008711394809541247,54,54,54,7992,0,0,0
157.81.158.50,99.30.40.17,47124,443,744,0.0006279945373535156,0.013065099716186523,0.0017239270909798418,66,66,66,49104,0,0,0
142.146.50.128,202.101.49.253,3705,7052,2,0.6324028968811035,0.6324028968811035,0.6324028968811035,54,54,54,108,0,0,0
150.121.8.6,185.194.65.221,36273,873,1078,2.86102294921875e-06,0.019269943237304688,0.0011864837497721807,66,66,66,71148,0,0,0
65.218.148.96,150.121.50.214,56397,389,1,0,0,0,54,54,54,54,1,0,0
126.26.99.111,157.81.34.9,61657,10027,3,0.18173909187316895,1.0012140274047852,0.591476559638977,66,66,66,198,0,0,0
133.139.240.231,144.12.209.201,55790,30303,58,0.0002391338348388672,0.20570707321166992,0.022382890968992,66,66,66,3828,0,0,0
114.212.162.147,203.77.124.110,25306,23,2,0.0018470287322998047,0.0018470287322998047,0.0018470287322998047,54,54,54,108,2,0,0
171.224.76.254,150.121.8.6,33986,443,82,9.5367431640625e-07,0.08211803436279297,0.014931493335300021,54,66,56.78048780487805,4656,0,0,0
213.201.73.173,163.226.147.187,16475,80,1,0,0,0,54,54,54,54,1,0,0
151.138.184.117,150.121.242.95,80,64064,314,2.86102294921875e-06,0.18215703964233398,0.002446437415223533,54,54,54,16956,0,0,0
43.98.198.180,203.77.29.161,59753,9304,1,0,0,0,66,66,66,66,1,0,0
175.191.122.100,150.121.8.6,52793,443,303,2.1457672119140625e-06,0.06279993057250977,0.004239781013387718,66,66,66,19998,0,0,0
133.139.202.68,176.245.136.59,80,46804,24,5.888938903808594e-05,0.1206510066986084,0.055305522421131965,66,66,66,1584,0,0,0
162.143.133.156,133.131.137.200,39222,28858,1,0,0,0,74,74,74,74,1,0,0
178.131.185.224,202.101.49.3,45482,3790,2,1.2478888034820557,1.2478888034820557,1.2478888034820557,54,54,54,108,0,0,0
110.47.184.125,150.121.8.6,22760,80,290,0.0,0.06928610801696777,0.0012689140016232394,66,94,83.15862068965517,24116,0,0,0
128.26.192.22,163.226.147.109,51946,80,45,3.814697265625e-06,0.017852067947387695,0.003714209253137762,66,66,66,2970,0,0,0
18.251.218.138,150.121.166.143,53845,3047,1,0,0,0,54,54,54,54,1,0,0
157.81.144.21,162.18.208.1,8000,443,12,0.005036830902099609,0.18971800804138184,0.10601717775518243,66,66,66,792,0,0,0
31.41.185.86,150.121.49.231,443,52202,381,9.5367431640625e-07,0.02650308609008789,0.0013356553880791914,54,54,54,20574,0,0,0
40.240.27.23,203.77.98.200,56974,1521,1,0,0,0,54,54,54,54,1,0,0
185.194.65.221,150.121.8.6,873,36273,1841,1.9073486328125e-06,0.018313169479370117,0.0006957880828691566,66,66,66,121506,0,0,0
206.84.45.117,202.230.245.173,31223,52842,1,0,0,0,74,74,74,74,1,0,0
110.47.184.125,150.121.8.6,22759,80,383,9.5367431640625e-07,0.07114911079406738,0.0033137355175317895,66,94,79.31592689295039,30378,0,0,0
103.6.155.2,150.121.8.6,61680,443,312,9.5367431640625e-07,0.03224587440490723,0.004112636928006384,66,78,66.96153846153847,20892,0,0,0
121.59.109.6,163.226.26.163,36448,23,1,0,0,0,58,58,58,58,1,0,0
147.164.176.124,150.121.49.194,443,62691,288,1.9073486328125e-06,0.16654396057128906,0.004283021136028011,66,66,66,19008,0,0,0
89.43.85.29,150.121.147.139,50241,17616,1,0,0,0,58,58,58,58,1,0,0
157.81.144.13,101.39.200.99,18546,443,11,7.987022399902344e-05,0.08907198905944824,0.04308540821075439,54,66,55.09090909090909,606,1,0,1
203.77.105.22,153.48.46.213,47642,1883,49,0.006525993347167969,0.03724312782287598,0.026530394951502483,66,66,66,3234,0,0,0
220.223.61.245,150.121.77.199,14519,8080,69,4.0531158447265625e-06,0.05942082405090332,0.018802954870111802,54,66,55.21739130434783,3810,0,0,0
203.77.105.21,153.48.46.213,40208,1883,49,0.005609989166259766,0.03746986389160156,0.02652481198310852,66,66,66,3234,0,0,0
60.154.37.192,131.80.243.50,52542,443,237,1.9073486328125e-06,0.07914996147155762,0.005413986868777518,54,66,54.607594936708864,12942,0,0,0
133.139.86.26,162.18.208.2,39606,443,1,0,0,0,54,54,54,54,0,0,0
211.114.83.8,150.121.8.6,19454,443,51,1.1920928955078125e-06,0.10870194435119629,0.02384136199951172,54,82,63.490196078431374,3238,0,0,0
52.203.22.238,202.230.249.67,35920,11211,1,0,0,0,54,54,54,54,1,0,0
133.139.244.98,15.200.156.83,55984,51235,34,3.409385681152344e-05,0.11826300621032715,0.03770451834707549,66,78,67.05882352941177,2280,0,0,0
133.139.147.237,162.18.230.3,61466,443,3,0.16047406196594238,0.19998598098754883,0.1802300214767456,54,54,54,162,0,0,0
47.44.198.28,202.230.200.251,14969,10471,1,0,0,0,66,66,66,66,1,0,0
